time (sec),Ca(mol/kgw),Mg(mol/kgw),Na(mol/kgw),Sr(mol/kgw),Cl(mol/kgw),S(6)(mol/kgw),Fe(mol/kgw)
17.93,5.6513608066595e-09,4.336081469225567e-09,2.6683799578840487e-08,4.66754329729061e-11,3.150094730299568e-08,7.368347570727917e-09,1.1266224443116644e-12
18.74,1.0800325804842665e-08,8.286693096783362e-09,5.0995457381291985e-08,8.920150392723918e-11,6.020151706333728e-08,1.4081662298646026e-08,2.1530901802050414e-12
19.56,1.975019154681518e-08,1.5153596188529673e-08,9.325367303713351e-08,1.631197818159368e-10,1.1008848389353609e-07,2.575066092646255e-08,3.937283397279516e-12
20.37,3.4739082227794785e-08,2.6654021192266336e-08,1.6402610617743906e-07,2.8691526864698026e-10,1.9363725588421603e-07,4.52934507102894e-08,6.925381526959439e-12
21.19,5.902714964433873e-08,4.528936277655828e-08,2.787060824298285e-07,4.875140450348649e-10,3.290200703878882e-07,7.696067718351062e-08,1.1767309483176435e-11
22.00,9.723969112033926e-08,7.460844160636009e-08,4.5913267932015356e-07,8.03117132398489e-10,5.420185492554877e-07,1.2678288758356967e-07,1.9385139657870463e-11
22.82,1.5578529345401545e-07,1.195283308274765e-07,7.3556505947438e-07,1.2866540062721046e-09,8.683544525945695e-07,2.031157145769942e-07,3.105645066797993e-11
23.63,2.433556464394501e-07,1.867178446143579e-07,1.1490424197166188e-06,2.0099106308303936e-09,1.35647566252529e-06,3.172915422692699e-07,4.8513967274145076e-11
24.45,3.715124939951691e-07,2.850478842016192e-07,1.7541553742472802e-06,3.0683771759246866e-09,2.0708278759988786e-06,4.843847838203312e-07,7.406257154629917e-11
25.26,5.553657659784147e-07,4.261117435049688e-07,2.6222478619455255e-06,4.586848809020864e-09,3.095634542992191e-06,7.240960421055597e-07,1.1071449128081527e-10
26.08,8.143453045307991e-07,6.248172263866106e-07,3.845060975141234e-06,6.725799498350854e-09,4.5391985049526615e-06,1.0617583006384277e-06,1.623431468794454e-10
26.89,1.1730668174415964e-06,9.000510608486151e-07,5.53882169625764e-06,9.688534051076334e-09,6.538728859021188e-06,1.5294659694019383e-06,2.338557827788437e-10
27.71,1.6622908140839665e-06,1.2754146553375522e-06,7.848770666467686e-06,1.3729108108409914e-08,9.265686111424525e-06,2.167325163059141e-06,3.31384635345416e-10
28.52,2.319971365225655e-06,1.780028773607133e-06,1.095411407207174e-05,1.9160990009531273e-08,1.2931628013312004e-05,3.0248210931737955e-06,4.6249600753570753e-10
29.34,3.192389634064984e-06,2.449403251426848e-06,1.507337579172229e-05,2.6366422793714584e-08,1.7794527915350638e-05,4.162295986704945e-06,6.364162430555865e-10
30.15,4.335365306996517e-06,3.3263664828904106e-06,2.0470117359574494e-05,3.580642958795745e-08,2.4165527338971318e-05,5.652528571593562e-06,8.642732301567539e-10
30.97,5.8155373588973855e-06,4.4620481045541135e-06,2.745898530247544e-05,4.803139163877243e-08,3.24160750215247e-05,7.582403961965286e-06,1.159351727560337e-09
31.78,7.711704063301724e-06,5.916907136000588e-06,3.641203821128372e-05,6.369211565635734e-08,4.298539619514607e-05,1.0054660787901643e-05,1.5373605010970292e-09
32.60,1.0116210839223663e-05,7.761796823705143e-06,4.776529968054926e-05,8.355129624879173e-08,5.638822850932923e-05,1.3189700695508648e-05,2.0167089967834638e-09
33.41,1.3136373442513938e-05,1.0079056603463834e-05,6.202547813303279e-05,1.084952702720138e-07,7.32227549655697e-05,1.712744392983447e-05,2.618791059979371e-09
34.23,1.6895923180803514e-05,1.2963620960710648e-05,7.977679063209911e-05,1.3954595307589409e-07,9.417865961250472e-05,2.202921363254292e-05,3.3682730450390576e-09
35.04,2.1536460269289626e-05,1.6524134537003655e-05,0.00010168782513239088,1.7787284198673994e-07,0.00012004522861848503,2.8079630753765716e-05,4.293383547873914e-09
35.86,2.7218901153620874e-05,2.0884062607688326e-05,0.00012851837424520364,2.2480496996317326e-07,0.0001517194177164792,3.548850109814873e-05,5.42620193583084e-09
36.67,3.412490560200356e-05,2.618278603722735e-05,0.0001611261734810137,2.8184269216298e-07,0.00019021380688167392,4.4492675993638236e-05,6.802942844480106e-09
37.49,4.245826960039778e-05,3.257666999649858e-05,0.00020047347802586006,3.5066919007257953e-07,0.00023666436439391913,5.535786837371137e-05,8.464233857106335e-09
38.30,5.244627055515389e-05,4.024009608734315e-05,0.00024763341432970247,4.3316158173650495e-07,0.0002923379450596218,6.838040667717317e-05,1.0455383676487244e-08
39.11,6.434095199423936e-05,4.936644804660747e-05,0.00030379604602775756,5.314015322967247e-07,0.0003586394511959872,8.388890986511144e-05,1.2826638235463923e-08
