Distance (m),Ca(mol/kgw),Mg(mol/kgw),Na(mol/kgw),Sr(mol/kgw),Cl(mol/kgw),S(6)(mol/kgw),Fe(mol/kgw),K(mol/kgw)
0.0423,0.012272848449312201,0.07176125301320044,0.5508586751558504,5.53847269354939e-05,0.694876571578842,0.030874840841629975,4.1922894219268575e-06,0.015623647893642942
0.127,0.012649959256032928,0.07399142898837521,0.5680179355386998,5.7109962451572966e-05,0.716521992742972,0.03183659284295898,4.322879333705507e-06,0.01611032488436317
0.212,0.01302683658741477,0.07622135134127599,0.5851770093622685,5.883517921050935e-05,0.738167178573287,0.03279833438790708,4.45346782568171e-06,0.016596996583823315
0.296,0.013403485616386242,0.07845102719079153,0.6023359146460189,6.05603790240252e-05,0.7598121518003039,0.03376006648643943,4.584055034991893e-06,0.01708366350309773
0.381,0.0137799113090521,0.08068046326086496,0.619494667667416,6.228556352869832e-05,0.7814569329571099,0.034721790050884715,4.714641085515116e-06,0.01757032610385362
0.466,0.014156118430957421,0.08290966588088296,0.6366532829075323,6.40107341804924e-05,0.803101540310746,0.0356835058928863,4.845226087459045e-06,0.01805698479680826
0.55,0.014532111559630885,0.08513864102396657,0.6538117732894574,6.573589227872761e-05,0.8247459901629469,0.036645214736764804,4.975810139174358e-06,0.01854363994849088
0.635,0.014907895096117512,0.08736739434026304,0.6709701503797963,6.746103898633972e-05,0.8463902971043208,0.03760691723081198,5.106393328688275e-06,0.019030291886957616
0.72,0.015283473275614091,0.08959593118605723,0.6881284245597514,6.918617534708083e-05,0.8680344742301577,0.03856861395687934,5.236975735006543e-06,0.019516940906643753
0.804,0.015658850177298487,0.09182425664935681,0.7052866051710178,7.0911302300189e-05,0.889678533324469,0.039530305438555534,5.367557429223789e-06,0.020003587272501774
0.889,0.01603402973343598,0.09405237557248847,0.7224447006407042,7.263642069294707e-05,0.9113224850175687,0.04049199214816791,5.49813847547422e-06,0.020490231223544292
0.974,0.01640901571454428,0.09628029243376446,0.7396027175229416,7.436153118432393e-05,0.9329663375771169,0.041453674453066185,5.628718923637798e-06,0.020976872945661886
