Time (s),Ca(mol/kgw),Mg(mol/kgw),Na(mol/kgw),Sr(mol/kgw),Cl(mol/kgw),S(6)(mol/kgw),Fe(mol/kgw)
35.8,4.222248288634707e-14,3.967454903981018e-14,2.4415309591761866e-13,3.5601980444110916e-16,2.882293350180544e-13,5.786162162849406e-14,
36.4,5.442958652120344e-08,5.812601649215917e-08,3.577015296799797e-07,4.6063126200119477e-10,4.2227633299965217e-07,7.728106644860929e-08,1.510259326151701e-11
37.1,0.025566696143720966,0.040042343432358414,0.24641646482136706,0.0002176725221945288,0.2909013032418605,0.04120916647781964,1.0404002589416727e-05
37.7,0.02556670439086142,0.040042408180455985,0.24641686327450635,0.0002176725934688693,0.29090177362657166,0.041209199737989664,1.0404019412592453e-05
38.3,0.02556670439086806,0.040042408180508,0.24641686327481965,0.00021767259346892626,0.29090177362693664,0.04120919973801591,1.040401941260605e-05
38.9,0.02556670439086831,0.04004240818050723,0.24641686327482137,0.00021767259346892846,0.2909017736269407,0.04120919973801532,1.0404019412605838e-05
39.5,0.025566704390868115,0.040042408180509526,0.24641686327482254,0.00021767259346892645,0.2909017736269427,0.041209199738016185,1.0404019412606433e-05
40.1,0.025566704390868167,0.04004240818050911,0.24641686327482337,0.0002176725934689271,0.2909017736269417,0.04120919973801615,1.0404019412606199e-05
40.8,0.02556670439086822,0.040042408180509116,0.24641686327482337,0.0002176725934689278,0.29090177362694286,0.041209199738016074,1.040401941260639e-05
41.4,0.025566704390867955,0.04004240818050902,0.2464168632748227,0.00021767259346892515,0.2909017736269403,0.041209199738016414,1.0404019412606412e-05
42.0,0.025566704390868153,0.040042408180509026,0.24641686327482248,0.00021767259346892691,0.2909017736269421,0.0412091997380161,1.0404019412606328e-05
42.6,0.0255667043908681,0.04004240818050889,0.24641686327482212,0.00021767259346892667,0.2909017736269415,0.04120919973801613,1.0404019412606348e-05
43.2,0.02556670439086819,0.04004240818050913,0.24641686327482312,0.0002176725934689276,0.2909017736269431,0.04120919973801602,1.040401941260637e-05
43.9,0.025566704390868167,0.04004240818050931,0.24641686327482235,0.00021767259346892691,0.2909017736269418,0.041209199738015984,1.0404019412606263e-05
44.5,0.025566704390868115,0.04004240818050904,0.24641686327482365,0.00021767259346892626,0.29090177362694336,0.04120919973801617,1.0404019412606241e-05
45.1,0.025566704390867875,0.04004240818050921,0.24641686327482248,0.00021767259346892426,0.2909017736269431,0.041209199738016636,1.0404019412606306e-05
45.7,0.025566704390868087,0.04004240818050917,0.24641686327482287,0.0002176725934689267,0.2909017736269419,0.04120919973801625,1.0404019412606263e-05
46.3,0.02556670439086819,0.04004240818050903,0.24641686327482337,0.00021767259346892713,0.2909017736269426,0.041209199738016004,1.0404019412606348e-05
46.9,0.02556670439086772,0.040042408180509095,0.2464168632748222,0.00021767259346892269,0.29090177362694125,0.04120919973801664,1.0404019412606433e-05
47.6,0.025566704390868153,0.04004240818050898,0.24641686327482412,0.00021767259346892713,0.29090177362694375,0.041209199738016226,1.0404019412606477e-05
48.2,0.025566704390868087,0.04004240818050921,0.24641686327482187,0.0002176725934689258,0.2909017736269421,0.04120919973801606,1.0404019412606284e-05
48.8,0.025566704390867983,0.04004240818050883,0.2464168632748235,0.00021767259346892534,0.2909017736269433,0.04120919973801637,1.040401941260639e-05
49.4,0.025566704390868035,0.040042408180509075,0.24641686327482357,0.0002176725934689258,0.29090177362694314,0.041209199738016324,1.0404019412606348e-05
50.0,0.025566704390868007,0.04004240818050886,0.24641686327482307,0.00021767259346892556,0.29090177362694297,0.04120919973801626,1.0404019412606306e-05
50.6,0.02556670439086805,0.04004240818050912,0.24641686327482404,0.0002176725934689258,0.29090177362694236,0.04120919973801626,1.0404019412606284e-05
51.3,0.025566704390867865,0.04004240818050893,0.2464168632748231,0.00021767259346892423,0.2909017736269421,0.04120919973801654,1.0404019412606284e-05
51.9,0.025566704390868115,0.04004240818050937,0.24641686327482412,0.00021767259346892648,0.29090177362694253,0.041209199738016296,1.040401941260639e-05
52.5,0.025566704390868153,0.04004240818050933,0.24641686327482334,0.00021767259346892664,0.2909017736269435,0.04120919973801616,1.0404019412606348e-05
53.1,0.025566704390868007,0.04004240818050911,0.24641686327482232,0.00021767259346892534,0.2909017736269414,0.04120919973801636,1.0404019412606263e-05
53.7,0.025566704390868087,0.04004240818050912,0.24641686327482337,0.0002176725934689262,0.29090177362694236,0.04120919973801625,1.040401941260639e-05
54.4,0.025566704390867903,0.040042408180509,0.24641686327482273,0.00021767259346892445,0.29090177362694286,0.0412091997380165,1.0404019412606306e-05
55.0,0.025566704390868007,0.040042408180509255,0.2464168632748232,0.0002176725934689258,0.2909017736269426,0.041209199738016365,1.0404019412606306e-05
55.6,0.025566704390868087,0.04004240818050899,0.246416863274822,0.00021767259346892624,0.2909017736269403,0.041209199738016206,1.0404019412606348e-05
56.2,0.02556670439086794,0.04004240818050886,0.24641686327482265,0.00021767259346892513,0.2909017736269421,0.04120919973801643,1.0404019412606433e-05
56.8,0.02556670439086814,0.04004240818050911,0.24641686327482415,0.00021767259346892624,0.2909017736269442,0.04120919973801614,1.040401941260639e-05
57.4,0.02556670439086806,0.04004240818050896,0.24641686327482293,0.00021767259346892626,0.2909017736269414,0.0412091997380163,1.040401941260637e-05
58.1,0.025566704390867983,0.04004240818050907,0.24641686327482196,0.00021767259346892513,0.2909017736269427,0.04120919973801627,1.0404019412606179e-05
58.7,0.025566704390868073,0.040042408180509116,0.24641686327482337,0.000217672593468926,0.29090177362694253,0.04120919973801646,1.0404019412606306e-05
59.3,0.025566704390868243,0.04004240818050916,0.24641686327482318,0.00021767259346892756,0.29090177362694125,0.041209199738015984,1.0404019412606263e-05
59.9,0.025566704390867903,0.0400424081805091,0.24641686327482418,0.00021767259346892494,0.2909017736269419,0.04120919973801658,1.0404019412606263e-05
60.5,0.02556670439086802,0.040042408180509345,0.2464168632748236,0.00021767259346892559,0.2909017736269435,0.04120919973801633,1.0404019412606412e-05
61.1,0.02556670439086806,0.04004240818050908,0.2464168632748216,0.000217672593468926,0.2909017736269418,0.04120919973801627,1.0404019412606328e-05
61.8,0.025566704390868167,0.0400424081805094,0.24641686327482332,0.0002176725934689269,0.29090177362694214,0.04120919973801625,1.0404019412606306e-05
62.4,0.02556670439086814,0.04004240818050913,0.24641686327482365,0.0002176725934689267,0.29090177362694186,0.04120919973801618,1.040401941260637e-05
63.0,0.02556670439086806,0.040042408180508714,0.24641686327482298,0.00021767259346892578,0.29090177362694164,0.04120919973801606,1.0404019412606221e-05
63.6,0.02556670439086802,0.04004240818050921,0.24641686327482298,0.0002176725934689258,0.29090177362694286,0.04120919973801641,1.0404019412606412e-05
64.2,0.025566704390868167,0.04004240818050933,0.2464168632748236,0.00021767259346892667,0.29090177362694297,0.041209199738016206,1.0404019412606412e-05
64.9,0.02556670439086814,0.0400424081805091,0.2464168632748235,0.00021767259346892643,0.29090177362694297,0.0412091997380161,1.040401941260639e-05
65.5,0.025566704390868007,0.040042408180509144,0.24641686327482418,0.00021767259346892534,0.2909017736269432,0.041209199738016365,1.0404019412606348e-05
66.1,0.025566704390868087,0.0400424081805093,0.24641686327482332,0.00021767259346892624,0.2909017736269415,0.041209199738016324,1.0404019412606348e-05
66.7,0.025566704390868087,0.04004240818050932,0.24641686327482298,0.0002176725934689262,0.2909017736269415,0.041209199738016275,1.0404019412606455e-05
67.3,0.02556670439086814,0.04004240818050904,0.24641686327482376,0.00021767259346892664,0.2909017736269429,0.0412091997380161,1.0404019412606306e-05
67.9,0.02556670439086814,0.04004240818050912,0.24641686327482457,0.00021767259346892624,0.29090177362694475,0.04120919973801631,1.0404019412606328e-05
68.6,0.025566704390867993,0.04004240818050894,0.2464168632748238,0.00021767259346892531,0.2909017736269429,0.041209199738016386,1.0404019412606263e-05
69.2,0.025566704390868087,0.04004240818050924,0.24641686327482337,0.0002176725934689262,0.2909017736269425,0.041209199738016296,1.0404019412606348e-05
69.8,0.02556670439086814,0.040042408180509165,0.2464168632748235,0.00021767259346892713,0.29090177362694375,0.04120919973801622,1.0404019412606284e-05
70.4,0.025566704390868115,0.0400424081805089,0.24641686327482426,0.00021767259346892624,0.2909017736269436,0.041209199738016206,1.040401941260639e-05
71.0,0.025566704390868035,0.040042408180509144,0.24641686327482312,0.00021767259346892531,0.29090177362694286,0.04120919973801626,1.0404019412606306e-05
71.6,0.025566704390867903,0.04004240818050911,0.24641686327482187,0.0002176725934689247,0.29090177362694214,0.04120919973801646,1.0404019412606221e-05
72.3,0.02556670439086827,0.04004240818050932,0.24641686327482337,0.0002176725934689278,0.29090177362694297,0.04120919973801597,1.0404019412606348e-05
72.9,0.025566704390868205,0.040042408180509276,0.2464168632748239,0.00021767259346892713,0.29090177362694286,0.04120919973801612,1.0404019412606306e-05
73.5,0.025566704390867837,0.040042408180509255,0.24641686327482268,0.000217672593468924,0.29090177362694253,0.041209199738016754,1.0404019412606348e-05
74.1,0.02556670439086822,0.04004240818050904,0.24641686327482248,0.00021767259346892756,0.29090177362694275,0.04120919973801603,1.040401941260639e-05
74.7,0.025566704390867955,0.04004240818050909,0.24641686327482212,0.00021767259346892534,0.2909017736269423,0.041209199738016414,1.0404019412606263e-05
75.4,0.02556670439086806,0.04004240818050917,0.2464168632748232,0.0002176725934689262,0.29090177362694286,0.041209199738016324,1.0404019412606455e-05
76.0,0.025566704390868167,0.040042408180509075,0.24641686327482246,0.00021767259346892691,0.29090177362694214,0.041209199738016,1.0404019412606348e-05
76.6,0.02556670439086789,0.04004240818050907,0.246416863274822,0.00021767259346892423,0.2909017736269415,0.04120919973801633,1.0404019412606284e-05
77.2,0.025566704390868035,0.04004240818050913,0.24641686327482248,0.0002176725934689258,0.29090177362694286,0.04120919973801635,1.0404019412606348e-05
77.8,0.025566704390868295,0.04004240818050891,0.24641686327482215,0.000217672593468928,0.2909017736269419,0.041209199738015866,1.0404019412606306e-05
78.4,0.025566704390868205,0.04004240818050926,0.24641686327482298,0.00021767259346892735,0.29090177362694297,0.0412091997380162,1.0404019412606306e-05
79.1,0.025566704390868115,0.040042408180508963,0.2464168632748229,0.00021767259346892667,0.29090177362694225,0.04120919973801612,1.0404019412606241e-05
79.7,0.02556670439086814,0.04004240818050921,0.24641686327482287,0.00021767259346892713,0.29090177362694186,0.041209199738016164,1.0404019412606157e-05
80.3,0.025566704390868007,0.040042408180509206,0.24641686327482273,0.00021767259346892553,0.2909017736269415,0.041209199738016275,1.0404019412606221e-05
80.9,0.025566704390867917,0.04004240818050904,0.2464168632748227,0.0002176725934689251,0.2909017736269421,0.04120919973801644,1.040401941260605e-05
81.5,0.025566704390868295,0.040042408180509005,0.2464168632748224,0.00021767259346892803,0.2909017736269429,0.041209199738015824,1.0404019412606306e-05
