Time (s),Ca(mol/kgw),Mg(mol/kgw),Na(mol/kgw),Sr(mol/kgw),Cl(mol/kgw),S(6)(mol/kgw),Fe(mol/kgw)
8.15E0,1.730E-15,1.515E-15,9.323E-15,,,,
8.96E0,1.219E-8,1.229E-8,7.566E-8,1.029E-10,8.932E-8,1.703E-8,3.194E-12
9.78E0,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
1.06E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
1.14E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
1.22E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
1.30E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
1.39E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
1.47E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
1.55E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
1.63E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
1.71E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
1.79E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
1.87E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
1.96E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
2.04E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
2.12E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
2.20E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
2.28E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
2.36E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
2.44E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
2.53E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
2.61E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
2.69E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
2.77E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
2.85E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
2.93E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
3.02E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
3.10E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
3.18E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
3.26E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
3.34E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
3.42E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
3.50E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
3.59E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
3.67E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
3.75E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
3.83E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
3.91E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
3.99E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
4.07E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
4.16E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
4.24E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
4.32E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
4.40E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
4.48E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
4.56E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
4.64E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
4.73E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
4.81E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
4.89E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
4.97E1,2.549E-2,3.943E-2,2.427E-1,2.170E-4,2.865E-1,4.090E-2,1.025E-5
