Distance (m),Ca(mol/kgw),Mg(mol/kgw),Na(mol/kgw),Sr(mol/kgw),Cl(mol/kgw),S(6)(mol/kgw),Fe(mol/kgw)
0.0423,0.018499989723422986,0.014194362272192628,0.08735064613333546,0.00015279417823005757,0.10311980093385122,0.024120624925661523,3.6880504280286836e-06
0.127,0.019070171069097155,0.014631841465551774,0.09004284811304,0.00015750339112460715,0.10629801820538884,0.02486403779151972,3.801718467168698e-06
0.212,0.019640346835451034,0.01506931637810354,0.09273502374909634,0.00016221255793871854,0.10947620437753698,0.02560744338295825,3.915385394047877e-06
0.296,0.020210517615845382,0.015506787465111867,0.09542717584315166,0.00016692168357304617,0.11265436275771608,0.026350842473611663,4.029051326955167e-06
0.381,0.020780683943143505,0.015944255133015575,0.09811930689638904,0.00017163077240267208,0.11583249629864048,0.027094235757283543,4.142716371493551e-06
0.466,0.02144315768779978,0.01638166521426144,0.10081108356724998,0.00017633924134491388,0.1190102114815816,0.027929913655344567,4.2563664535774755e-06
0.55,0.02154785045951844,0.016819407945118853,0.10350490732962096,0.0001810512910645579,0.12219034331143204,0.02820794230192245,4.3701029663525705e-06
0.635,0.021651339495025113,0.01725716367995775,0.10619881111715701,0.00018408587542251888,0.1253705696131548,0.028483094756218474,4.483842857887388e-06
0.72,0.021753808924671412,0.01769493262153908,0.10889279617762813,0.00018495901524978573,0.12855089185977617,0.028755071247521337,4.597586180864274e-06
0.804,0.021854720893630223,0.018132715407584658,0.11158686643550901,0.0001858191703797453,0.13173131468424473,0.029025482626495326,4.711333100979333e-06
0.889,0.021954122298748165,0.018570512295727936,0.11428102347624944,0.00018666672869210792,0.13491183995822667,0.029294376277110554,4.825083685172191e-06
0.974,0.022052057694898784,0.019008323522381982,0.1169752687547107,0.0001875020587769215,0.13809246939922531,0.029561797213899677,4.938837994868849e-06
1.06,0.02214856946186588,0.019446149305058346,0.11966960360943663,0.0001883255113053497,0.14127320458742826,0.029827788251105873,5.052596086584257e-06
1.14,0.022243697942957406,0.019883989844391478,0.1223640292751112,0.00018913742016461412,0.14445404698041242,0.030092390143210773,5.166358012448264e-06
1.23,0.022337481585152728,0.020321845325894414,0.12505854689336296,0.00018993810360977284,0.14763499792590154,0.03035564172691122,5.2801238206618394e-06
1.31,0.022429957060886463,0.020759715921499614,0.1277531575222462,0.00019072786526295863,0.15081605867295747,0.030617580044493917,5.39389355589727e-06
1.4,0.0225211593810764,0.021197601790909234,0.13044786214455129,0.00019150699504131899,0.15399723038179056,0.030878240458313454,5.507667259649253e-06
1.48,0.022611121999001307,0.021635503082783752,0.1331426616751204,0.0001922757700100111,0.15717851413239742,0.031137656755979157,5.6214449705433966e-06
1.57,0.022699876905918924,0.022073419935791923,0.13583755696730554,0.00019303445516753907,0.16035991093218263,0.03139586124716468,5.7352267246094424e-06
1.65,0.022787454719220192,0.022511352479538407,0.13853254881868066,0.00019378330416993823,0.1635414217227039,0.031652884852841776,5.849012555521789e-06
1.74,0.02287388476381869,0.02294930083538779,0.14122763797611215,0.00019452255999955026,0.1667230473856568,0.03190875718765773,5.962802494814007e-06
1.82,0.022959195147406214,0.02338726511719827,0.1439228251402706,0.0001952524555835355,0.16990478874820317,0.03216350663609136,6.076596572069447e-06
1.91,0.0230434128301298,0.02382524543197483,0.14661811096965388,0.00019597321436667461,0.17308664658771564,0.03241716042295335,6.190394815090476e-06
1.99,0.023126563689191658,0.024263241880453163,0.14931349608417926,0.00019668505084256485,0.17626862163602525,0.032669744678744755,6.30419725005089e-06
2.07,0.02320867257881784,0.02470125455762375,0.15200898106840915,0.00019738817104685873,0.17945071458322268,0.03292128450031864,6.418003901631641e-06
2.16,0.02328976338599901,0.025139283553202007,0.15470456647444114,0.00019808277301584475,0.1826329260810745,0.03317180400726123,6.5318147931428645e-06
2.24,0.0233698590823609,0.02557732895205033,0.1574002528245108,0.0001987690472133028,0.18581525674609337,0.03342132639435219,6.645629946633986e-06
2.33,0.023448981772493004,0.02601539083456005,0.16009604061333854,0.0001994471769283135,0.1889977071623105,0.03366987398043793,6.759449382992818e-06
2.41,0.023527152739025347,0.0264534692769958,0.16279193031024822,0.0002001173386464036,0.19218027788377517,0.033917468254011755,6.873273122034723e-06
2.5,0.023604392484719468,0.026891564351806722,0.16548792236108467,0.00020077970239620177,0.1953629694368199,0.03416412991577226,6.987101182583711e-06
2.58,0.02368072077181349,0.027329676127910124,0.16818401718995757,0.0002014344320735654,0.19854578232211736,0.03440987891840164,7.1009335825463796e-06
2.67,0.023756156658837475,0.027767804670947378,0.17088021520081834,0.00020208168574495472,0.20172871701654213,0.0346547345037817,7.214770338977887e-06
2.75,0.02383071853509567,0.028205950043517593,0.17357651677889396,0.00020272161593165523,0.20491177397486698,0.0348987152378522,7.328611468143139e-06
2.84,0.02390442415299711,0.02864411230539125,0.17627292229200914,0.0002033543698763496,0.20809495363131786,0.03514183904328919,7.442456985572021e-06
2.92,0.02397729065839397,0.029082291513704776,0.17896943209177038,0.0002039800897933158,0.21127825640097378,0.03538412323016806,7.556306906109799e-06
3.01,0.024049334619078884,0.02952048772313651,0.1816660465146655,0.00020459891310353057,0.214461682681072,0.03562558452476593,7.67016124396341e-06
3.09,0.024120572051576826,0.029958700986071674,0.18436276588306794,0.00020521097265574191,0.2176452328521798,0.035866239096636526,7.784020012744027e-06
3.18,0.0241910184463541,0.03039693135275081,0.1870595905061523,0.00020581639693456009,0.22082890727928672,0.036106102584082506,7.897883225505046e-06
3.26,0.02426068879155728,0.03083517887140634,0.18975652068073695,0.00020641531025645269,0.2240127063127962,0.03634519011814813,8.011750894778756e-06
3.34,0.024329597595389395,0.031273443588390286,0.19245355669206451,0.00020700783295454965,0.227196630289444,0.03658351634522385,8.125623032608446e-06
3.43,0.024397758907214163,0.03171172554828846,0.19515069881451585,0.00020759408155298804,0.23038067953314395,0.03682109544837314,8.239499650578528e-06
3.51,0.02446518633747914,0.03215002479402901,0.19784794731226313,0.00020817416893154772,0.2335648543557579,0.03705794116745898,8.35338075984297e-06
3.6,0.02453189307653608,0.03258834136698144,0.2005453024398893,0.00020874820448121107,0.23674915505783023,0.03729406681816083,8.467266371150549e-06
3.68,0.02459789191243437,0.03302667530704703,0.20324276444294595,0.0002093162942512883,0.23993358192923883,0.03752948530994819,8.581156494868554e-06
3.77,0.024663195247754403,0.03346502665274407,0.2059403335584689,0.00020987854108862918,0.24311813524980966,0.037764209163084886,8.695051141005109e-06
3.85,0.024727815115541976,0.03390339544128614,0.20863801001546853,0.00021043504476944054,0.24630281528990083,0.037998250524729084,8.808950319229201e-06
3.94,0.024791763194408352,0.034341781708656954,0.2113357940353801,0.00021098590212424045,0.24948762231091784,0.03823162118418339,8.92285403889032e-06
4.02,0.02485505082284033,0.03478018548967343,0.2140336858324696,0.00021153120715629984,0.2526725565658087,0.03846433258734988,9.036762309034639e-06
4.11,0.02491768901277774,0.03521860681805381,0.2167316856142305,0.00021207105115405604,0.255857618299526,0.03869639585044572,9.150675138423166e-06
4.19,0.024979688462500056,0.03565704572647225,0.2194297935817374,0.00021260552279782805,0.2590428077494448,0.03892782177301761,9.264592535545333e-06
4.28,0.025041059568867336,0.03609550224661562,0.222128009929991,0.0002131347082612221,0.2622281251457662,0.03915862085030338,9.378514508634137e-06
4.36,0.025101812438950103,0.03653397640923397,0.22482633484822237,0.00021365869130748644,0.26541357071188154,0.039388803284984564,9.492441065679417e-06
4.45,0.025161956901093047,0.036972468244187894,0.22752476852018627,0.00021417755338120988,0.26859914466472484,0.03961837899835157,9.60637221443973e-06
4.53,0.025221502515438046,0.03741097778049221,0.23022331112444291,0.00021469137369555704,0.2717848472150838,0.03984735764093718,9.720307962453572e-06
4.61,0.025280458583944364,0.03784950504635914,0.2329219628346059,0.00021520022931535246,0.27497067856791757,0.04007574860263234,9.834248317051477e-06
4.7,0.025338834159930598,0.03828805006923546,0.23562072381958019,0.00021570419523622602,0.2781566389226225,0.040303561022324796,9.94819328536461e-06
4.78,0.025396638057171864,0.038726612875841726,0.23831959424379817,0.00021620334446008263,0.28134272847331443,0.040530803797084076,1.0062142874335651e-05
4.87,0.025453878858570582,0.03916519349220317,0.24101857426741935,0.0002166977480670508,0.2845289474090656,0.040757485590919,1.017609709072643e-05
4.95,0.025510564924431708,0.039603791943683866,0.2437176640465305,0.0002171874752841711,0.2877152959141451,0.04098361484313048,1.0290055941127747e-05
5.04,0.025566704399638932,0.04004240824936836,0.24641686369857652,0.00021767259354472644,0.29090177412719553,0.041209199773388154,1.0404019430497813e-05
