Time (s),Ca(mol/kgw),Mg(mol/kgw),Na(mol/kgw),Sr(mol/kgw),Cl(mol/kgw),S(6)(mol/kgw),Fe(mol/kgw)
4.73E1,6.759E-14,5.928E-14,3.648E-13,5.681E-16,4.306E-13,9.099E-14,
4.81E1,6.511E-8,6.356E-8,3.911E-7,5.499E-10,4.617E-7,9.015E-8,1.651E-11
4.89E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
4.97E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
5.05E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
5.13E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
5.22E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
5.30E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
5.38E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
5.46E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
5.54E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
5.62E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
5.70E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
5.79E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
5.87E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
5.95E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
6.03E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
6.11E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
6.19E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
6.27E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
6.36E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
6.44E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
6.52E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
6.60E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
6.68E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
6.76E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
6.85E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
6.93E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
7.01E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
7.09E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
7.17E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
7.25E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
7.33E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
7.42E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
7.50E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
7.58E1,2.429E-2,3.228E-2,1.986E-1,2.067E-4,2.345E-1,3.693E-2,8.386E-6
