Distance (m),Ca(mol/kgw),Mg(mol/kgw),Na(mol/kgw),Sr(mol/kgw),Cl(mol/kgw),S(6)(mol/kgw),Ba(mol/kgw),B(mol/kgw),K(mol/kgw)
0.0423,0.0002530247087713396,1.1235339087739132e-07,0.13138645259939657,5.301734646159442e-05,0.08763526382157685,0.00014022903833818822,1.2299537683876208e-05,0.0003253638125492095,0.00044582768615404123
0.127,0.0003239604073802172,8.634289020839077e-08,0.168220759604974,6.788080595495473e-05,0.11220388675229098,0.00017597823938176303,1.2183591225989822e-05,0.00041657984222986743,0.0005708158682572202
0.212,0.0003945008569138504,7.021017204155741e-08,0.20484982825995077,8.266144722371337e-05,0.13663561492220327,0.00021158931843572168,1.2129361035689406e-05,0.0005072876221563752,0.0006951076243807932
0.296,0.0004648335089950238,5.920294149615535e-08,0.24137099531800246,9.739854780593414e-05,0.1609953723163908,0.00024712878988736656,1.2108585805776985e-05,0.0005977281958811726,0.0008190332429130277
0.381,0.0005350438613237775,5.120537683172528e-08,0.277828656599475,0.0001121100223993821,0.18531277111595457,0.0002826251676040954,1.2106551696260059e-05,0.0006880115046735649,0.0009427433701760361
0.466,0.0006051764760389563,4.5128739756516074e-08,0.3142459515889329,0.0001268052082990814,0.2096032454451471,0.0003180926837890716,1.211496025628813e-05,0.00077819485087159,0.0010663165243325226
0.55,0.0006752568601830236,4.0354344737400774e-08,0.3506361251581588,0.00014148945010443526,0.2338756296838453,0.00035353928545969363,1.212886212163169e-05,0.0008683110339145457,0.0011897976486047385
0.635,0.0007453006671841638,3.650409239849998e-08,0.38700730555838314,0.00015616602774501842,0.2581353454065488,0.0003889698149257057,1.2145185215883197e-05,0.0009583801825048923,0.0013132143242186552
0.72,0.0008153180359877613,3.333365894512541e-08,0.4233647575721375,0.0001708370656773022,0.28238590424323895,0.0004243874376724761,1.2161968765294082e-05,0.0010484153342860253,0.001436584415921877
0.804,0.0008853158228521886,3.067802879748832e-08,0.45971204140297134,0.00018550400052234943,0.3066296808632301,0.0004597943463389711,1.2177938878962137e-05,0.001138425305702709,0.001559920004391514
0.889,0.0009552988304179979,2.8421672759006037e-08,0.4960516508860028,0.00020016783859791773,0.33086833866403553,0.0004951921348692402,1.2192261281930956e-05,0.0012284162724578687,0.0016832295518450816
0.974,0.001025270518751475,2.648126033470652e-08,0.5323853827067718,0.00021482930490645565,0.355103076041747,0.0005305820078979352,1.2204391196493004e-05,0.0013183926838417133,0.0018065191548940738
