,parameter,value
0,simulation_path,C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PHREEQC\ROSS\examples\other\2021-10-27_ROSSpy_North German Basin_transport_pitzer_scaling_all_distance_LinPerm_2
1,os,windows
2,root_path,C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PHREEQC\ROSS\rosspy
3,simulation_type,transport
4,permeate_approach,linear_permeate
5,database_selection,pitzer
6,database_path,C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PHREEQC\ROSS\rosspy\databases\pitzer.dat
7,cells_per_module,12.0
8,timestep,0.3000636
9,simulation_time,7.2015264
10,simulation_perspective,all_distance
11,water_selection,North German Basin
12,simulation,scaling
13,active_m2,37
14,active_m2_cell,3.0833333333333335
15,input_file_name,input.pqi
16,input_path,C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PHREEQC\ROSS\examples\other\2021-10-27_ROSSpy_North German Basin_transport_pitzer_scaling_all_distance_LinPerm_2\input.pqi
17,output_file_name,selected_output.pqo
18,output_path,C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PHREEQC\ROSS\examples\other\2021-10-27_ROSSpy_North German Basin_transport_pitzer_scaling_all_distance_LinPerm_2\selected_output.pqo
