Time (s),Gypsum (mol)
102.6,0.04577
106.6,0.04888
110.5,0.05200
114.4,0.05512
118.4,0.05825
122.3,0.06137
126.3,0.06450
130.2,0.06764
134.2,0.07077
138.1,0.07390
142.1,0.07704
146.0,0.08018
150.0,0.08331
153.9,0.08645
157.9,0.08959
161.8,0.09273
165.7,0.09586
169.7,0.09900
173.6,0.1021
177.6,0.1053
181.5,0.1084
185.5,0.1116
189.4,0.1147
193.4,0.1178
197.3,0.1210
201.3,0.1241
47.36,2.095e-3
51.30,5.240e-3
55.25,8.382e-3
59.19,0.01152
63.14,0.01466
67.09,0.01778
71.03,0.02091
74.98,0.02402
78.93,0.02713
82.87,0.03024
86.82,0.03334
90.77,0.03645
94.71,0.03955
98.66,0.04266
