Time (s),Barite (g/m^2),Celestite (g/m^2),Goergeyite (g/m^2)
1.026E2,1.922E-4,2.249E-1,2.362E1
1.066E2,2.052E-4,2.403E-1,2.522E1
1.105E2,2.181E-4,2.557E-1,2.683E1
1.144E2,2.311E-4,2.710E-1,2.843E1
1.184E2,2.441E-4,2.864E-1,3.003E1
1.223E2,2.571E-4,3.018E-1,3.163E1
1.263E2,2.700E-4,3.172E-1,3.323E1
1.302E2,2.830E-4,3.326E-1,3.483E1
1.342E2,2.960E-4,3.480E-1,3.644E1
1.381E2,3.090E-4,3.634E-1,3.804E1
1.421E2,3.219E-4,3.788E-1,3.964E1
1.460E2,3.349E-4,3.941E-1,4.124E1
1.500E2,3.479E-4,4.095E-1,4.284E1
1.539E2,3.609E-4,4.249E-1,4.444E1
1.579E2,3.738E-4,4.403E-1,4.604E1
1.618E2,3.868E-4,4.557E-1,4.764E1
1.657E2,3.998E-4,4.711E-1,4.925E1
1.697E2,4.128E-4,4.865E-1,5.085E1
1.736E2,4.258E-4,5.019E-1,5.245E1
1.776E2,4.387E-4,5.172E-1,5.405E1
1.815E2,4.517E-4,5.326E-1,5.565E1
1.855E2,4.647E-4,5.480E-1,5.725E1
1.894E2,4.777E-4,5.634E-1,5.885E1
1.934E2,4.906E-4,5.788E-1,6.046E1
1.973E2,5.036E-4,5.942E-1,6.206E1
2.013E2,5.166E-4,6.096E-1,6.366E1
4.736E1,9.093E-6,1.036E-2,1.094E0
5.130E1,2.225E-5,2.565E-2,2.709E0
5.525E1,3.541E-5,4.094E-2,4.323E0
5.919E1,4.856E-5,5.623E-2,5.937E0
6.314E1,6.170E-5,7.153E-2,7.549E0
6.709E1,7.483E-5,8.683E-2,9.161E0
7.103E1,8.794E-5,1.021E-1,1.077E1
7.498E1,1.010E-4,1.175E-1,1.238E1
7.893E1,1.141E-4,1.328E-1,1.399E1
8.287E1,1.271E-4,1.481E-1,1.560E1
8.682E1,1.402E-4,1.635E-1,1.720E1
9.077E1,1.532E-4,1.788E-1,1.881E1
9.471E1,1.662E-4,1.942E-1,2.041E1
9.866E1,1.792E-4,2.095E-1,2.202E1
