Time (s),Barite (g/m^2),Celestite (g/m^2),Goergeyite (g/m^2)
3.59E1,6.680E-6,7.530E-3,8.270E-1
3.89E1,1.630E-5,1.860E-2,2.050E0
4.19E1,2.600E-5,2.980E-2,3.270E0
4.49E1,3.570E-5,4.090E-2,4.480E0
4.79E1,4.530E-5,5.200E-2,5.700E0
5.08E1,5.500E-5,6.310E-2,6.920E0
5.38E1,6.460E-5,7.420E-2,8.140E0
5.68E1,7.420E-5,8.540E-2,9.350E0
5.98E1,8.380E-5,9.650E-2,1.060E1
6.28E1,9.340E-5,1.080E-1,1.180E1
6.58E1,1.030E-4,1.190E-1,1.300E1
6.88E1,1.120E-4,1.300E-1,1.420E1
7.18E1,1.220E-4,1.410E-1,1.540E1
7.48E1,1.320E-4,1.520E-1,1.660E1
7.78E1,1.410E-4,1.630E-1,1.780E1
8.08E1,1.510E-4,1.750E-1,1.910E1
8.38E1,1.600E-4,1.860E-1,2.030E1
8.67E1,1.700E-4,1.970E-1,2.150E1
8.97E1,1.790E-4,2.080E-1,2.270E1
9.27E1,1.890E-4,2.190E-1,2.390E1
9.57E1,1.980E-4,2.310E-1,2.510E1
9.87E1,2.080E-4,2.420E-1,2.630E1
1.02E2,2.170E-4,2.530E-1,2.750E1
1.05E2,2.270E-4,2.640E-1,2.870E1
1.08E2,2.360E-4,2.750E-1,2.990E1
1.11E2,2.460E-4,2.870E-1,3.120E1
1.14E2,2.550E-4,2.980E-1,3.240E1
1.17E2,2.650E-4,3.090E-1,3.360E1
1.20E2,2.750E-4,3.200E-1,3.480E1
1.23E2,2.840E-4,3.310E-1,3.600E1
1.26E2,2.940E-4,3.420E-1,3.720E1
1.29E2,3.030E-4,3.540E-1,3.840E1
1.32E2,3.130E-4,3.650E-1,3.960E1
1.35E2,3.220E-4,3.760E-1,4.080E1
1.38E2,3.320E-4,3.870E-1,4.200E1
1.41E2,3.410E-4,3.980E-1,4.320E1
1.44E2,3.510E-4,4.100E-1,4.450E1
1.47E2,3.600E-4,4.210E-1,4.570E1
1.50E2,3.700E-4,4.320E-1,4.690E1
1.53E2,3.790E-4,4.430E-1,4.810E1
1.56E2,3.890E-4,4.540E-1,4.930E1
1.59E2,3.980E-4,4.650E-1,5.050E1
1.62E2,4.080E-4,4.770E-1,5.170E1
1.65E2,4.170E-4,4.880E-1,5.290E1
1.68E2,4.270E-4,4.990E-1,5.410E1
1.70E2,4.370E-4,5.100E-1,5.530E1
1.73E2,4.460E-4,5.210E-1,5.660E1
1.76E2,4.560E-4,5.330E-1,5.780E1
1.79E2,4.650E-4,5.440E-1,5.900E1
1.82E2,4.750E-4,5.550E-1,6.020E1
1.85E2,4.840E-4,5.660E-1,6.140E1
1.88E2,4.940E-4,5.770E-1,6.260E1
1.91E2,5.030E-4,5.890E-1,6.380E1
1.94E2,5.130E-4,6.000E-1,6.500E1
1.97E2,5.220E-4,6.110E-1,6.620E1
2.00E2,5.320E-4,6.220E-1,6.740E1
