Time (s),Gypsum (g/m^2)
3.59E1,8.890E-2
3.89E1,2.220E-1
4.19E1,3.560E-1
4.49E1,4.890E-1
4.79E1,6.220E-1
5.08E1,7.540E-1
5.38E1,8.870E-1
5.68E1,1.020E0
5.98E1,1.150E0
6.28E1,1.280E0
6.58E1,1.410E0
6.88E1,1.550E0
7.18E1,1.680E0
7.48E1,1.810E0
7.78E1,1.940E0
8.08E1,2.070E0
8.38E1,2.210E0
8.67E1,2.340E0
8.97E1,2.470E0
9.27E1,2.600E0
9.57E1,2.740E0
9.87E1,2.870E0
1.02E2,3.000E0
1.05E2,3.130E0
1.08E2,3.270E0
1.11E2,3.400E0
1.14E2,3.530E0
1.17E2,3.670E0
1.20E2,3.800E0
1.23E2,3.930E0
1.26E2,4.070E0
1.29E2,4.200E0
1.32E2,4.330E0
1.35E2,4.470E0
1.38E2,4.600E0
1.41E2,4.730E0
1.44E2,4.870E0
1.47E2,5.000E0
1.50E2,5.130E0
1.53E2,5.260E0
1.56E2,5.400E0
1.59E2,5.530E0
1.62E2,5.660E0
1.65E2,5.800E0
1.68E2,5.930E0
1.70E2,6.060E0
1.73E2,6.200E0
1.76E2,6.330E0
1.79E2,6.460E0
1.82E2,6.600E0
1.85E2,6.730E0
1.88E2,6.860E0
1.91E2,6.990E0
1.94E2,7.130E0
1.97E2,7.260E0
2.00E2,7.390E0
