Time (s),Mn(mol/kgw),Fe(mol/kgw),B(mol/kgw),Cl(mol/kgw),Na(mol/kgw),S(6)(mol/kgw),Ca(mol/kgw),K(mol/kgw),Mg(mol/kgw),Sr(mol/kgw),Ba(mol/kgw),Li(mol/kgw),Zn(mol/kgw),Ni(mol/kgw),Cu(mol/kgw),Cd(mol/kgw),Co(mol/kgw),Pb(mol/kgw)
4.34E1,1.237E-14,2.497E-13,2.761E-10,1.551E-6,1.586E-6,2.193E-7,4.255E-8,1.709E-8,1.504E-7,2.103E-10,1.779E-13,7.294E-11,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
4.74E1,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.406E-1,1.153E-1,2.158E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
5.13E1,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.153E-1,2.158E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
5.52E1,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.153E-1,2.158E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
5.92E1,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.153E-1,2.158E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
6.31E1,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.153E-1,2.157E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
6.71E1,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.153E-1,2.157E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
7.10E1,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.153E-1,2.157E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
7.50E1,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.153E-1,2.157E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
7.89E1,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.153E-1,2.157E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
8.29E1,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.157E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
8.68E1,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.156E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
9.08E1,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.156E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
9.47E1,6.557E-9,1.324E-7,1.464E-4,8.220E-1,8.407E-1,1.152E-1,2.156E-2,9.063E-3,7.972E-2,1.115E-4,9.429E-8,3.867E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
