,variable,value
0,simulation_path,C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PHREEQC\ROSS\examples\sensitivity_analyses\database_selection\2021-10-15_ROSS_red_sea_transport_core10_scaling_all_distance_LinPerm_0
1,cell_meters,0.08466666666666667
2,feed_cubic_meters,0.017429622854940183
3,feed_kg,17.378153556381264
4,feed_moles,964.6491011035951
5,Reynold's number,47.46212128445787
6,feed_kg_cell,1.448179463031772
7,feed_moles_cell,80.38742509196625
8,module 0,"{'cumulative_cf': 1.117912632649256, 'permeate (moles/cell)': -0.1051323860508228}"
9,described_minerals,"{'Anhydrite': {'formula': 'CaSO4', 'mass': 140.1406}, 'Aragonite': {'formula': 'CaCO3', 'mass': 103.0869}, 'Arcanite': {'formula': 'K2SO4', 'mass': 178.2592}, 'Artinite': {'formula': 'Mg2CO3(OH)2:3H2O', 'mass': 149.63358}, 'B': {'formula': 'B', 'mass': 10.811}, 'Bassanite': {'formula': 'CaSO4:0.5H2O', 'mass': 145.14824000000002}, 'Boric_acid': {'formula': 'B(OH)3', 'mass': 64.83302}, 'Brucite': {'formula': 'Mg(OH)2', 'mass': 60.31968}, 'Ca': {'formula': 'Ca', 'mass': 40.078}, 'Calcite': {'formula': 'CaCO3', 'mass': 103.0869}, 'Chloromagnesite': {'formula': 'MgCl2', 'mass': 97.21100000000001}, 'Dolomite': {'formula': 'CaMg(CO3)2', 'mass': 186.4008}, 'Fe': {'formula': 'Fe', 'mass': 55.845}, 'FeSO4': {'formula': 'FeSO4', 'mass': 155.9076}, 'Gypsum': {'formula': 'CaSO4:2H2O', 'mass': 172.17116000000001}, 'Halite': {'formula': 'NaCl', 'mass': 58.44277}, 'Huntite': {'formula': 'CaMg3(CO3)4', 'mass': 357.0286}, 'Hydromagnesite': {'formula': 'Mg5(CO3)4(OH)2:4H2O', 'mass': 467.63640000000004}, 'Hydrophilite': {'formula': 'CaCl2', 'mass': 112.98400000000001}, 'Jarosite': {'formula': 'KFe3(SO4)2(OH)6', 'mass': 506.80254}, 'K': {'formula': 'K', 'mass': 39.0983}, 'Lawrencite': {'formula': 'FeCl2', 'mass': 128.751}, 'Li': {'formula': 'Li', 'mass': 6.941}, 'Magnesite': {'formula': 'MgCO3', 'mass': 87.31389999999999}, 'Melanterite': {'formula': 'FeSO4:7H2O', 'mass': 278.01456}, 'Mg': {'formula': 'Mg', 'mass': 24.305}, 'MgOHCl': {'formula': 'MgOHCl', 'mass': 76.76534000000001}, 'MgSO4': {'formula': 'MgSO4', 'mass': 124.3676}, 'Mirabilite': {'formula': 'Na2SO4:10H2O', 'mass': 322.19494}, 'Mn': {'formula': 'Mn', 'mass': 54.938049}, 'MnSO4': {'formula': 'MnSO4', 'mass': 155.000649}, 'Molysite': {'formula': 'FeCl3', 'mass': 165.204}, 'Monohydrocalcite': {'formula': 'CaCO3:H2O', 'mass': 100.0869}, 'Na': {'formula': 'Na', 'mass': 22.98977}, 'Na2CO3': {'formula': 'Na2CO3', 'mass': 108.98844}, 'Natron': {'formula': 'Na2CO3:10H2O', 'mass': 286.14124000000004}, 'Nesquehonite': {'formula': 'MgCO3:3H2O', 'mass': 138.35974}, 'Portlandite': {'formula': 'Ca(OH)2', 'mass': 76.09268}, 'Rhodochrosite': {'formula': 'MnCO3', 'mass': 117.94694899999999}, 'Scacchite': {'formula': 'MnCl2', 'mass': 127.84404900000001}, 'Siderite': {'formula': 'FeCO3', 'mass': 118.8539}, 'Sylvite': {'formula': 'KCl', 'mass': 74.5513}, 'Thenardite': {'formula': 'Na2SO4', 'mass': 146.04214}, 'Thermonatrite': {'formula': 'Na2CO3:H2O', 'mass': 105.98844}}"
10,run_time (s),2.050481399999967
11,initial_solution_mass,17.378153556381264
12,final_solution_mass,15.592344433116846
13,simulation_cf,1.1145311489830552
14,final_time,201.26281485327152
15,precipitated_minerals,"{'Gypsum': {'formula': 'CaSO4:2H2O', 'mass': 172.17116000000001}}"
