,variable,value
0,simulation_path,C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PHREEQC\ROSS\examples\sensitivity_analyses\database_selection\core10 database
1,cell_meters,0.08466666666666667
2,feed_cubic_meters,0.017429622854940183
3,feed_kg,17.378153556381264
4,feed_moles,964.6491011035951
5,Reynold's number,47.46212128445787
6,feed_kg_cell,1.448179463031772
7,feed_moles_cell,80.38742509196625
8,module 0,{'cf': 1.1177308071405103}
9,described_minerals,"{'Anhydrite': {'formula': 'CaSO4', 'mass': 136.1406}, 'Aragonite': {'formula': 'CaCO3', 'mass': 100.0869}, 'Arcanite': {'formula': 'K2SO4', 'mass': 174.2592}, 'Artinite': {'formula': 'Mg2CO3(OH)2:3H2O', 'mass': 196.67942}, 'Atacamite': {'formula': 'Cu4Cl2(OH)6', 'mass': 342.09734000000003}, 'Azurite': {'formula': 'Cu3(CO3)2(OH)2', 'mass': 327.66314}, 'B': {'formula': 'B', 'mass': 10.811}, 'Bassanite': {'formula': 'CaSO4:0.5H2O', 'mass': 145.14824000000002}, 'Bieberite': {'formula': 'CoSO4:7H2O', 'mass': 281.10276}, 'Boric_acid': {'formula': 'B(OH)3', 'mass': 27.81834}, 'Brochantite': {'formula': 'Cu4(SO4)(OH)6', 'mass': 367.25394}, 'Brucite': {'formula': 'Mg(OH)2', 'mass': 41.31234}, 'Ca': {'formula': 'Ca', 'mass': 40.078}, 'Calcite': {'formula': 'CaCO3', 'mass': 100.0869}, 'Chalcanthite': {'formula': 'CuSO4:5H2O', 'mass': 249.685}, 'Chalcocyanite': {'formula': 'CuSO4', 'mass': 159.6086}, 'Chloromagnesite': {'formula': 'MgCl2', 'mass': 95.21100000000001}, 'Co': {'formula': 'Co', 'mass': 58.9332}, 'CoCl2': {'formula': 'CoCl2', 'mass': 129.8392}, 'CoSO4': {'formula': 'CoSO4', 'mass': 154.9958}, 'Cu': {'formula': 'Cu', 'mass': 63.546}, 'CuCl2': {'formula': 'CuCl2', 'mass': 134.452}, 'Dolomite': {'formula': 'CaMg(CO3)2', 'mass': 124.3919}, 'Fe': {'formula': 'Fe', 'mass': 55.845}, 'FeSO4': {'formula': 'FeSO4', 'mass': 151.9076}, 'Gypsum': {'formula': 'CaSO4:2H2O', 'mass': 172.17116000000001}, 'Halite': {'formula': 'NaCl', 'mass': 58.44277}, 'Huntite': {'formula': 'CaMg3(CO3)4', 'mass': 173.00189999999998}, 'Hydromagnesite': {'formula': 'Mg5(CO3)4(OH)2:4H2O', 'mass': 467.63640000000004}, 'Hydrophilite': {'formula': 'CaCl2', 'mass': 110.98400000000001}, 'Jarosite': {'formula': 'KFe3(SO4)2(OH)6', 'mass': 415.76584}, 'K': {'formula': 'K', 'mass': 39.0983}, 'Lawrencite': {'formula': 'FeCl2', 'mass': 126.751}, 'Li': {'formula': 'Li', 'mass': 6.941}, 'Magnesite': {'formula': 'MgCO3', 'mass': 84.31389999999999}, 'Malachite': {'formula': 'Cu2CO3(OH)2', 'mass': 204.10824}, 'Melanterite': {'formula': 'FeSO4:7H2O', 'mass': 278.01456}, 'Mg': {'formula': 'Mg', 'mass': 24.305}, 'MgOHCl': {'formula': 'MgOHCl', 'mass': 76.76534000000001}, 'MgSO4': {'formula': 'MgSO4', 'mass': 120.3676}, 'Mirabilite': {'formula': 'Na2SO4:10H2O', 'mass': 322.19494}, 'Mn': {'formula': 'Mn', 'mass': 54.938049}, 'MnSO4': {'formula': 'MnSO4', 'mass': 151.000649}, 'Molysite': {'formula': 'FeCl3', 'mass': 162.204}, 'Monohydrocalcite': {'formula': 'CaCO3:H2O', 'mass': 118.10217999999999}, 'Morenosite': {'formula': 'NiSO4:7H2O', 'mass': 280.86296}, 'Na': {'formula': 'Na', 'mass': 22.98977}, 'Na2CO3': {'formula': 'Na2CO3', 'mass': 105.98844}, 'Nantokite': {'formula': 'CuCl', 'mass': 98.999}, 'Natron': {'formula': 'Na2CO3:10H2O', 'mass': 286.14124000000004}, 'Nesquehonite': {'formula': 'MgCO3:3H2O', 'mass': 138.35974}, 'Ni': {'formula': 'Ni', 'mass': 58.6934}, 'NiCl2': {'formula': 'NiCl2', 'mass': 129.5994}, 'NiSO4': {'formula': 'NiSO4', 'mass': 154.756}, 'Nickelbischofite': {'formula': 'NiCl2:6H2O', 'mass': 237.69108}, 'Portlandite': {'formula': 'Ca(OH)2', 'mass': 57.08534}, 'Rhodochrosite': {'formula': 'MnCO3', 'mass': 114.94694899999999}, 'Scacchite': {'formula': 'MnCl2', 'mass': 125.84404900000001}, 'Siderite': {'formula': 'FeCO3', 'mass': 115.8539}, 'Smithsonite': {'formula': 'ZnCO3', 'mass': 125.38889999999999}, 'Sphaerocobaltite': {'formula': 'CoCO3', 'mass': 118.9421}, 'Sylvite': {'formula': 'KCl', 'mass': 74.5513}, 'Thenardite': {'formula': 'Na2SO4', 'mass': 142.04214}, 'Thermonatrite': {'formula': 'Na2CO3:H2O', 'mass': 124.00371999999999}, 'Zn': {'formula': 'Zn', 'mass': 65.38}, 'ZnCl2': {'formula': 'ZnCl2', 'mass': 136.286}, 'ZnSO4': {'formula': 'ZnSO4', 'mass': 161.4426}}"
10,run_time (s),6.606153199999881
11,initial_solution_mass,17.378153556381264
12,final_solution_mass,15.596369888179378
13,simulation_cf,1.1142434862071535
14,final_time,201.26281485327152
15,precipitated_minerals,{}
