,sim,state,soln,dist_x,time,step,pH,pe,reaction,temp(C),Alk(eq/kgw),mu,mass_H2O,charge(eq),Mn(mol/kgw),Fe(mol/kgw),B(mol/kgw),Cl(mol/kgw),Na(mol/kgw),S(6)(mol/kgw),Ca(mol/kgw),K(mol/kgw),Mg(mol/kgw),Sr(mol/kgw),Ba(mol/kgw),Li(mol/kgw),Zn(mol/kgw),Ni(mol/kgw),Cu(mol/kgw),Cd(mol/kgw),Co(mol/kgw),Pb(mol/kgw),Anhydrite,d_Anhydrite,Aragonite,d_Aragonite,Arcanite,d_Arcanite,Artinite,d_Artinite,Barite,d_Barite,Bischofite,d_Bischofite,Bloedite,d_Bloedite,Brucite,d_Brucite,Burkeite,d_Burkeite,Calcite,d_Calcite,Carnallite,d_Carnallite,Celestite,d_Celestite,Dolomite,d_Dolomite,Epsomite,d_Epsomite,Gaylussite,d_Gaylussite,Glaserite,d_Glaserite,Glauberite,d_Glauberite,Goergeyite,d_Goergeyite,Gypsum,d_Gypsum,Halite,d_Halite,Hexahydrite,d_Hexahydrite,Huntite,d_Huntite,Kainite,d_Kainite,Kieserite,d_Kieserite,Labile_S,d_Labile_S,Leonhardite,d_Leonhardite,Leonite,d_Leonite,Magnesite,d_Magnesite,MgCl2_2H2O,d_MgCl2_2H2O,MgCl2_4H2O,d_MgCl2_4H2O,Mirabilite,d_Mirabilite,Natron,d_Natron,Nesquehonite,d_Nesquehonite,Pentahydrite,d_Pentahydrite,Pirssonite,d_Pirssonite,Polyhalite,d_Polyhalite,Portlandite,d_Portlandite,Schoenite,d_Schoenite,Sylvite,d_Sylvite,Syngenite,d_Syngenite,Thenardite,d_Thenardite,Teepleite,d_Teepleite,si_Anhydrite,si_Aragonite,si_Arcanite,si_Artinite,si_Barite,si_Bischofite,si_Bloedite,si_Brucite,si_Burkeite,si_Calcite,si_Carnallite,si_Celestite,si_Dolomite,si_Epsomite,si_Gaylussite,si_Glaserite,si_Glauberite,si_Goergeyite,si_Gypsum,si_Halite,si_Hexahydrite,si_Huntite,si_Kainite,si_Kieserite,si_Labile_S,si_Leonhardite,si_Leonite,si_Magnesite,si_MgCl2_2H2O,si_MgCl2_4H2O,si_Mirabilite,si_Natron,si_Nesquehonite,si_Pentahydrite,si_Pirssonite,si_Polyhalite,si_Portlandite,si_Schoenite,si_Sylvite,si_Syngenite,si_Thenardite,si_Teepleite
0,1,i_soln,1,-99.0,-99.0,-99,8.22,0.2679,-99.0,24.5,4.221830790084399e-05,1.1431477824160803,13.171724160465171,-5.551997910955078e-05,5.884165443990706e-09,1.188133492860144e-07,0.0001313438881578047,0.7376728118222522,0.7543974114653037,0.1044718373698113,0.02040091007685263,0.008132890306344346,0.07154355216086782,0.00010007166767534013,8.461815637019472e-08,3.470156779170804e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3583219561794557,-2.6305310170913074,-4.908864828688515,-5.000771398047199,-0.25585311662243804,-7.178644013851087,-4.451053848023697,-2.5165848592259046,-13.7630842596193,-2.4452031145784687,-9.659907497662733,-0.26806072399264114,-4.004007029661622,-2.2181233519686385,-10.492324541801391,-7.7638627155988456,-2.020887291602227,-0.42682875659136243,-0.026491520979614158,-2.2233194664765294,-2.491419893120307,-10.461700004704568,-6.4878995727874305,-3.740125132488358,-4.482100042560185,-3.1472963433053835,-6.850190389761145,-2.3987788443147835,-17.13110212050379,-9.544486597834249,-1.6199503251740857,-8.300430960285343,-5.0993219177594735,-2.7610825143156505,-10.643966028770587,-6.267643429946659,-8.82841762493667,-6.524762731781679,-3.5543311760879495,-4.989301289584857,-2.4658677599695773,-7.572805079107185
1,1,react,1,-99.0,0.0,1,8.218755252932295,0.2679,5.13510844992408,24.5,4.251693368412965e-05,1.1512336400688745,13.079210046710896,-5.55199800664828e-05,5.925786333119882e-09,1.1965376026436816e-07,0.0001322729322950897,0.74289064578796,0.7597335447402167,0.10521080550412742,0.020545213296136573,0.00819041726219739,0.07204960629557387,0.0001007795117740183,8.521669204002956e-08,3.4947024878080217e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35479903609626184,-2.6264735381335136,-4.902895650912252,-4.995921594857826,-0.25280781281607645,-7.170140338313478,-4.44106342429882,-2.515798766747576,-13.742907295054577,-2.441145635620675,-9.645802676374004,-0.2646694494825841,-3.995627249967974,-2.214938986831948,-10.481616018780308,-7.751635214652763,-2.0108169029556606,-0.40333117507407223,-0.023140994246296565,-2.217429175331852,-2.488149331308678,-10.444675623539212,-6.478769275199867,-3.7364235873020424,-4.465654578700119,-3.14385338814388,-6.84077825682338,-2.394456543578931,-17.12225365826643,-9.535810528946765,-1.6142648233600867,-8.294210899596745,-5.095258207048435,-2.7577257558290844,-10.632998915724697,-6.251013063492628,-8.827896354236398,-6.5155229921937865,-3.5487300303368277,-4.979895388400337,-2.459320291406203,-7.562246907733584
2,1,react,1,-99.0,0.0,2,8.217490808537736,0.2679,5.13510844992408,24.5,4.2819814144716275e-05,1.159434700560021,12.986695932957087,-5.551998103495593e-05,5.968000216755154e-09,1.2050614501607023e-07,0.0001332152130085541,0.7481828209544434,0.7651457046878373,0.10596030210270678,0.020691572478616523,0.008248763834581592,0.07256287044736322,0.00010149744089659803,8.582375535959615e-08,3.519597911952864e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35124737407402584,-2.6223902527896517,-4.896887626351898,-4.991051021683335,-0.24973645428870306,-7.161566216274274,-4.430998403976835,-2.51501815516524,-13.722593158708,-2.437062350276813,-9.631585416734989,-0.2612505923108879,-3.9871915361613546,-2.2117306043888734,-10.470844383890825,-7.739326092308074,-2.0006710699251062,-0.3796523293593985,-0.019764310137789565,-2.2114929645080608,-2.484853459908739,-10.427535052807087,-6.469567799329525,-3.732690271117779,-4.449089552574978,-3.140382538830211,-6.831299382949356,-2.390104115116177,-17.113329580399768,-9.527061428993832,-1.6085455419204164,-8.287959994835447,-5.091168245456274,-2.75434239547228,-10.621964813964615,-6.234255887660403,-8.827384885772958,-6.506219096233493,-3.5430868927370183,-4.970423190774612,-2.452726120397886,-7.551617240511049
3,1,react,1,-99.0,0.0,3,8.216206276423929,0.2679,5.13510844992408,24.5,4.3127040862529535e-05,1.167753443576529,12.894181819203752,-5.551998201453216e-05,6.01081985887686e-09,1.213707612720215e-07,0.00013417101521044728,0.7535509374876677,0.7706355277532708,0.10672055378672331,0.02084003187811537,0.008307947665429864,0.07308349980910098,0.00010222567211936843,8.64395298832994e-08,3.544850579098107e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3476665191887438,-2.618280802877658,-4.89084024542723,-4.986159454316879,-0.2466386267048435,-7.152920508837308,-4.420857669661322,-2.5142431756876036,-13.702139907327908,-2.4329529003648194,-9.617253945551678,-0.2578037108632385,-3.9786990663673762,-2.20849785418432,-10.46000884015627,-7.726934244862177,-1.9904486629220308,-0.3557894846727123,-0.01636107658128516,-2.2055101151651524,-2.4815318990397968,-10.41027654324914,-6.46029404272107,-3.7289246569268935,-4.4324032147828865,-3.136883356632491,-6.821752819826968,-2.3857210952341905,-17.104328630305247,-9.51823810022809,-1.6027920964465094,-8.28167795433483,-5.087051657567454,-2.750932023938949,-10.610862838236896,-6.217369993438677,-8.826883476265314,-6.496850154439884,-3.537401128990673,-4.960883765629051,-2.4460845682800922,-7.540915053619695
4,1,react,1,-99.0,0.0,4,8.214901253505547,0.2679,5.13510844992408,24.5,4.343870806575822e-05,1.1761924204840921,12.801667705450884,-5.551998301142483e-05,6.054258392432412e-09,1.2224787421332172e-07,0.00013514063204894656,0.7589966418094279,0.7762046976861693,0.10749179372826524,0.02099063702769661,0.008367986906648634,0.0736116540597961,0.00010296442879362044,8.70642044715322e-08,3.5704682343329885e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34405595923667587,-2.6141447932545887,-4.884752950863903,-4.981246614077451,-0.24351385581973162,-7.144202012408659,-4.410639990462352,-2.5134739625076286,-13.68154546391653,-2.42881689074175,-9.602806398166855,-0.25432830206250934,-3.9701489413760385,-2.2052403278742965,-10.449108530130108,-7.714458470727122,-1.9801484383898371,-0.331739553118652,-0.01293084216842999,-2.19947987920058,-2.478184209960167,-10.392898187521261,-6.450946814376448,-3.7251261539992315,-4.41559365120978,-3.133355342013649,-6.812137510644798,-2.381306979865922,-17.095249482798174,-9.509339278260228,-1.5970040595624493,-8.275364467779768,-5.082908030508005,-2.747494172089713,-10.599692039901916,-6.2003532388131575,-8.826392368830534,-6.487415170796926,-3.5316720780344997,-4.951276073883262,-2.4393949036999665,-7.5301392838259
5,1,react,1,-99.0,0.0,5,8.213575325672759,0.2679,5.13510844992408,24.5,4.375491272517293e-05,1.184754256937013,12.709153591698506,-5.551998402119089e-05,6.098329332765404e-09,1.231377567424329e-07,0.00013612436520791802,0.7645216282809024,0.7818549472624556,0.10827426188876618,0.021143434786224324,0.008428900238679132,0.07414749752788176,0.0001037139407740351,8.769797348379515e-08,3.596458848262958e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.340415168351468,-2.6099818193694055,-4.8786251729389924,-4.9763122154022135,-0.2403616551778942,-7.135409493057302,-4.4003441044177425,-2.5127106530669163,-13.660807702839495,-2.424653916856567,-9.588240863971201,-0.25082384896511467,-3.9615402396094552,-2.201957606502247,-10.438142578297384,-7.701897540826915,-1.9697691214789428,-0.3074993669833255,-0.009473143714471277,-2.193401490305895,-2.4748099423724925,-10.375398029991878,-6.441524893297602,-3.7212941553334336,-4.398658900704448,-3.129797981994725,-6.802452372700965,-2.376861251984522,-17.086090778584314,-9.50036366647762,-1.5911809956930103,-8.269019220910353,-5.07873694127348,-2.744028358286414,-10.588451449422317,-6.183203426667653,-8.825911813386039,-6.477913125284341,-3.5258990631902027,-4.941599051288767,-2.4326563776742804,-7.519288843710058
6,1,react,1,-99.0,0.0,6,8.212228067427407,0.2679,5.13510844992408,24.5,4.407575465656627e-05,1.19344165560188,12.616639477946617,-5.5519985041606844e-05,6.143046591635567e-09,1.240406897662719e-07,0.00013712252521986464,0.770127640960284,0.7875880600818028,0.1090682052679271,0.021298473386971824,0.008490706889875362,0.07469119936168,0.00010447444465712125,8.83410369803135e-08,3.6228306252779016e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33674360652056734,-2.605791466939589,-4.872456329097354,-4.971355965535877,-0.2371815257142238,-7.126541685499262,-4.389968717433069,-2.511953388101986,-13.639924448246594,-2.4204635644267505,-9.573555384890849,-0.24728982025278512,-3.95287201633079,-2.1986492601296774,-10.427110090516393,-7.689250197732127,-1.9593094049833804,-0.28306567596966303,-0.005987505848531249,-2.1872741633720696,-2.4714086340174424,-10.357774065015512,-6.432027027472797,-3.7174280370659805,-4.381596953509185,-3.1262107496747134,-6.792696296539314,-2.3723833811356734,-17.076851123096354,-9.491309934954618,-1.585322460853154,-8.262641895471582,-5.0745379563720725,-2.740534087948883,-10.577140075693885,-6.165918302879245,-8.825442066840143,-6.468342973087654,-3.520081391667889,-4.931851607598709,-2.4258682230096182,-7.50836262090012
7,1,react,1,-99.0,0.0,7,8.210859041463456,0.2679,5.13510844992408,24.5,4.4401336624656756e-05,1.2022573990019514,12.524125364195227,-5.551998361984266e-05,6.188424491861999e-09,1.2495696249188365e-07,0.00013813543179274777,0.775816475438335,0.7934058724449021,0.1098738781636526,0.02145580248838876,0.008553426656742098,0.07524293370744853,0.00010524618403024295,8.899360093260914e-08,3.6495920121875016e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33304071908048805,-2.6015733116504602,-4.866245823552854,-4.966377564322008,-0.23397295533953688,-7.117597292039302,-4.379512502176281,-2.5112023117716227,-13.618893472463872,-2.4162454091376215,-9.55874795381255,-0.24372566970135257,-3.944143302891483,-2.1953148474507875,-10.41601015351145,-7.6765151547597625,-1.948767948232077,-0.2584351443136583,-0.0024734405862352205,-2.1810970938703687,-2.467979810249661,-10.340024235275848,-6.422451932820001,-3.7135271578537408,-4.3644057496244395,-3.1225931037291486,-6.782868145049249,-2.3678728229854933,-17.067529085280828,-9.482176719316875,-1.5794280024308458,-8.256232169200224,-5.070310631488567,-2.73701085309221,-10.565756905422267,-6.148495554331241,-8.82498339337083,-6.4587036437753715,-3.5142183540495497,-4.922032625703022,-2.4190296536983946,-7.49735947730469
8,1,react,1,-99.0,0.0,8,8.209549840808146,0.2679,5.13510844992408,24.5,4.473184332019189e-05,1.2110107669513566,12.431589332071074,-5.551998366732855e-05,6.234488774736946e-09,1.258870946886953e-07,0.00013916365951266457,0.7815913587920205,0.7993116845932058,0.11064280556306959,0.02156657929478679,0.008617095118009423,0.07580301354476374,0.00010602959667413218,8.965603551718172e-08,3.676758189790282e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006083030636516696,0.0006083030636516696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33037633215747597,-2.5982008046812837,-4.860098982309399,-4.961090378588221,-0.23080404222026019,-7.108534594734506,-4.369188921038381,-2.5102683913749146,-13.597863625371586,-2.412872902168445,-9.5437598501265,-0.24022127502186041,-3.9361311110800585,-2.1920515948334263,-10.405632983322672,-7.6639079383868935,-1.9393296522936918,-0.23906184162353483,0.0,-2.1748581536031577,-2.4646210844639116,-10.322732673779939,-6.412881381147837,-3.7096910662260516,-4.348384491007457,-3.1190434316066233,-6.773171631683268,-2.363233138143249,-17.058084495302477,-9.472923075675304,-1.573608825099352,-8.249704871822564,-5.065957366151487,-2.7335566541380727,-10.555093315728323,-6.1332793207824565,-8.825316650847189,-6.449198076746167,-3.5082929476682985,-4.913316870704943,-2.41225574468302,-7.486176683708361
9,1,react,1,-99.0,0.0,9,8.20841026976261,0.2679,5.13510844992408,24.5,4.506749338562702e-05,1.2194419757015402,12.33900233729687,-5.5519983704161065e-05,6.281269913424498e-09,1.2683170167226496e-07,0.00014020788858920097,0.7874561113120293,0.8053094034315196,0.11130910008458564,0.021564481034570135,0.008681754392629115,0.07637180938636355,0.00010682520084413209,9.032877895826473e-08,3.704347129479117e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002630978265829135,0.0020226752021774656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33018433817976867,-2.5968465288882534,-4.854155483425285,-4.955110927690017,-0.2277646764360881,-7.0992989683082435,-4.359281686650446,-2.5088981373471793,-13.577032394591336,-2.4115186263754147,-9.528514123089343,-0.23689611795325405,-3.929879647450001,-2.188988667733695,-10.397040094336948,-7.6517145318999,-1.9325813419943412,-0.2322543698397368,0.0,-2.1685416442734975,-2.4614621603753264,-10.30668683447582,-6.403424365481794,-3.7060521571931977,-4.335271858364172,-3.115692513540331,-6.7638772147328625,-2.3583359503062216,-17.0484648809208,-9.463495455271334,-1.5680124786662475,-8.242946243574139,-5.06134816928102,-2.7303017330606343,-10.54621243577604,-6.123408921898928,-8.82748930886345,-6.440095653773468,-3.5022828470574026,-4.907277374831976,-2.4056994283613777,-7.474677120154029
