Distance (m),Mn(mol/kgw) (mol),Fe(mol/kgw) (mol),B(mol/kgw) (mol),Cl(mol/kgw) (mol),Na(mol/kgw) (mol),S(6)(mol/kgw) (mol),Ca(mol/kgw) (mol),K(mol/kgw) (mol),Mg(mol/kgw) (mol),Sr(mol/kgw) (mol),Ba(mol/kgw) (mol),Li(mol/kgw) (mol),Zn(mol/kgw) (mol),Ni(mol/kgw) (mol),Cu(mol/kgw) (mol),Cd(mol/kgw) (mol),Co(mol/kgw) (mol),Pb(mol/kgw) (mol)
4.23E-2,5.884E-9,1.188E-7,1.313E-4,7.377E-1,7.544E-1,1.045E-1,2.040E-2,8.133E-3,7.154E-2,1.001E-4,8.462E-8,3.470E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
1.27E-1,5.884E-9,1.188E-7,1.313E-4,7.377E-1,7.544E-1,1.045E-1,2.040E-2,8.133E-3,7.154E-2,1.001E-4,8.462E-8,3.470E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
2.12E-1,5.884E-9,1.188E-7,1.313E-4,7.377E-1,7.544E-1,1.045E-1,2.040E-2,8.133E-3,7.154E-2,1.001E-4,8.462E-8,3.470E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
2.96E-1,5.884E-9,1.188E-7,1.313E-4,7.377E-1,7.544E-1,1.045E-1,2.040E-2,8.133E-3,7.154E-2,1.001E-4,8.462E-8,3.470E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
3.81E-1,5.884E-9,1.188E-7,1.313E-4,7.377E-1,7.544E-1,1.045E-1,2.040E-2,8.133E-3,7.154E-2,1.001E-4,8.462E-8,3.470E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
4.66E-1,5.884E-9,1.188E-7,1.313E-4,7.377E-1,7.544E-1,1.045E-1,2.040E-2,8.133E-3,7.154E-2,1.001E-4,8.462E-8,3.470E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
5.50E-1,5.884E-9,1.188E-7,1.313E-4,7.377E-1,7.544E-1,1.045E-1,2.040E-2,8.133E-3,7.154E-2,1.001E-4,8.462E-8,3.470E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
6.35E-1,5.884E-9,1.188E-7,1.313E-4,7.377E-1,7.544E-1,1.045E-1,2.040E-2,8.133E-3,7.154E-2,1.001E-4,8.462E-8,3.470E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
7.20E-1,5.884E-9,1.188E-7,1.313E-4,7.377E-1,7.544E-1,1.045E-1,2.040E-2,8.133E-3,7.154E-2,1.001E-4,8.462E-8,3.470E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
8.04E-1,5.884E-9,1.188E-7,1.313E-4,7.377E-1,7.544E-1,1.045E-1,2.040E-2,8.133E-3,7.154E-2,1.001E-4,8.462E-8,3.470E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
8.89E-1,5.884E-9,1.188E-7,1.313E-4,7.377E-1,7.544E-1,1.045E-1,2.040E-2,8.133E-3,7.154E-2,1.001E-4,8.462E-8,3.470E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
