Distance (m),Barite (g/m^2),Brucite (g/m^2),Halite (g/m^2),Portlandite (g/m^2)
4.23E-2,6.020E3,9.680E2,2.710E4,7.700E2
1.27E-1,8.190E-4,9.820E-6,9.290E2,7.190E-2
2.12E-1,7.920E-4,9.450E-6,9.070E2,6.900E-2
2.96E-1,7.660E-4,9.120E-6,8.850E2,6.620E-2
3.81E-1,7.420E-4,8.800E-6,8.640E2,6.350E-2
4.66E-1,7.180E-4,8.500E-6,8.430E2,6.090E-2
5.50E-1,6.940E-4,8.200E-6,8.220E2,5.840E-2
6.35E-1,6.720E-4,7.920E-6,8.010E2,5.600E-2
7.20E-1,6.490E-4,7.640E-6,7.810E2,5.370E-2
8.04E-1,6.280E-4,7.370E-6,7.610E2,5.140E-2
8.89E-1,6.070E-4,7.110E-6,7.410E2,4.920E-2
9.74E-1,5.860E-4,6.850E-6,7.220E2,4.710E-2
