Time (s),Mn(mol/kgw),Fe(mol/kgw),B(mol/kgw),Cl(mol/kgw),Na(mol/kgw),S(6)(mol/kgw),Ca(mol/kgw),K(mol/kgw),Mg(mol/kgw),Sr(mol/kgw),Ba(mol/kgw),Li(mol/kgw)
4.34E1,1.236E-14,2.496E-13,2.759E-10,1.549E-6,1.585E-6,2.191E-7,4.250E-8,1.708E-8,1.503E-7,2.102E-10,1.777E-13,7.289E-11
4.74E1,6.554E-9,1.323E-7,1.463E-4,8.217E-1,8.403E-1,1.152E-1,2.158E-2,9.059E-3,7.969E-2,1.115E-4,9.425E-8,3.865E-5
5.13E1,6.554E-9,1.323E-7,1.463E-4,8.217E-1,8.403E-1,1.152E-1,2.158E-2,9.059E-3,7.969E-2,1.115E-4,9.425E-8,3.865E-5
5.52E1,6.554E-9,1.323E-7,1.463E-4,8.217E-1,8.403E-1,1.152E-1,2.158E-2,9.059E-3,7.969E-2,1.115E-4,9.425E-8,3.865E-5
5.92E1,6.554E-9,1.323E-7,1.463E-4,8.217E-1,8.403E-1,1.152E-1,2.158E-2,9.059E-3,7.969E-2,1.115E-4,9.425E-8,3.865E-5
6.31E1,6.554E-9,1.323E-7,1.463E-4,8.217E-1,8.403E-1,1.152E-1,2.157E-2,9.059E-3,7.969E-2,1.115E-4,9.425E-8,3.865E-5
6.71E1,6.554E-9,1.323E-7,1.463E-4,8.217E-1,8.403E-1,1.152E-1,2.157E-2,9.059E-3,7.969E-2,1.115E-4,9.425E-8,3.865E-5
7.10E1,6.554E-9,1.323E-7,1.463E-4,8.217E-1,8.403E-1,1.152E-1,2.157E-2,9.059E-3,7.969E-2,1.115E-4,9.425E-8,3.865E-5
7.50E1,6.554E-9,1.323E-7,1.463E-4,8.217E-1,8.403E-1,1.152E-1,2.157E-2,9.059E-3,7.969E-2,1.115E-4,9.425E-8,3.865E-5
7.89E1,6.554E-9,1.323E-7,1.463E-4,8.217E-1,8.403E-1,1.152E-1,2.157E-2,9.059E-3,7.969E-2,1.115E-4,9.425E-8,3.865E-5
