Time (s),Mn(mol/kgw),Fe(mol/kgw),B(mol/kgw),Cl(mol/kgw),Na(mol/kgw),S(6)(mol/kgw),Ca(mol/kgw),K(mol/kgw),Mg(mol/kgw),Sr(mol/kgw),Ba(mol/kgw),Li(mol/kgw),Zn(mol/kgw),Ni(mol/kgw),Cu(mol/kgw),Cd(mol/kgw),Co(mol/kgw),Pb(mol/kgw)
4.34E1,1.117E-14,2.256E-13,2.494E-10,1.400E-6,1.432E-6,1.983E-7,3.873E-8,1.544E-8,1.358E-7,1.900E-10,1.606E-13,6.588E-11,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
4.74E1,5.882E-9,1.188E-7,1.313E-4,7.373E-1,7.541E-1,1.044E-1,2.039E-2,8.129E-3,7.151E-2,1.000E-4,8.458E-8,3.469E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
5.13E1,5.882E-9,1.188E-7,1.313E-4,7.374E-1,7.541E-1,1.044E-1,2.039E-2,8.129E-3,7.151E-2,1.000E-4,8.458E-8,3.469E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
5.52E1,5.882E-9,1.188E-7,1.313E-4,7.374E-1,7.541E-1,1.044E-1,2.039E-2,8.129E-3,7.151E-2,1.000E-4,8.458E-8,3.469E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
5.92E1,5.882E-9,1.188E-7,1.313E-4,7.374E-1,7.541E-1,1.044E-1,2.039E-2,8.129E-3,7.151E-2,1.000E-4,8.458E-8,3.469E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
6.31E1,5.882E-9,1.188E-7,1.313E-4,7.374E-1,7.541E-1,1.044E-1,2.039E-2,8.129E-3,7.151E-2,1.000E-4,8.458E-8,3.469E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
6.71E1,5.882E-9,1.188E-7,1.313E-4,7.374E-1,7.541E-1,1.044E-1,2.039E-2,8.129E-3,7.151E-2,1.000E-4,8.458E-8,3.469E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
7.10E1,5.882E-9,1.188E-7,1.313E-4,7.374E-1,7.541E-1,1.044E-1,2.039E-2,8.129E-3,7.151E-2,1.000E-4,8.458E-8,3.469E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
7.50E1,5.882E-9,1.188E-7,1.313E-4,7.374E-1,7.541E-1,1.044E-1,2.039E-2,8.129E-3,7.151E-2,1.000E-4,8.458E-8,3.469E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
7.89E1,5.882E-9,1.188E-7,1.313E-4,7.374E-1,7.541E-1,1.044E-1,2.039E-2,8.129E-3,7.151E-2,1.000E-4,8.458E-8,3.469E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
