Time ($s$),Gypsum (g/m^2)
3.59E1,8.930E-2
3.89E1,2.230E-1
4.19E1,3.570E-1
4.49E1,4.910E-1
4.79E1,6.250E-1
5.08E1,7.580E-1
5.38E1,8.910E-1
5.68E1,1.020E0
5.98E1,1.160E0
6.28E1,1.290E0
6.58E1,1.420E0
6.88E1,1.550E0
7.18E1,1.690E0
7.48E1,1.820E0
7.78E1,1.950E0
8.08E1,2.080E0
8.38E1,2.220E0
8.67E1,2.350E0
8.97E1,2.480E0
9.27E1,2.620E0
9.57E1,2.750E0
9.87E1,2.880E0
1.02E2,3.020E0
1.05E2,3.150E0
1.08E2,3.280E0
1.11E2,3.420E0
1.14E2,3.550E0
1.17E2,3.690E0
1.20E2,3.820E0
1.23E2,3.950E0
1.26E2,4.090E0
1.29E2,4.220E0
1.32E2,4.350E0
1.35E2,4.490E0
1.38E2,4.620E0
1.41E2,4.760E0
1.44E2,4.890E0
1.47E2,5.020E0
1.50E2,5.160E0
1.53E2,5.290E0
1.56E2,5.420E0
1.59E2,5.560E0
1.62E2,5.690E0
1.65E2,5.830E0
1.68E2,5.960E0
1.70E2,6.090E0
1.73E2,6.230E0
1.76E2,6.360E0
1.79E2,6.490E0
1.82E2,6.630E0
1.85E2,6.760E0
1.88E2,6.900E0
1.91E2,7.030E0
1.94E2,7.160E0
1.97E2,7.300E0
2.00E2,7.430E0
