Distance (m),Ferrihydrite (g/m^2),Brucite (g/m^2),Atacamite (g/m^2),Barite (g/m^2)
4.23E-2,2.470E0,1.000E1,5.760E-3,9.210E-3
1.27E-1,4.360E-6,4.180E-2,3.750E-4,5.520E-4
2.12E-1,4.150E-6,4.050E-2,3.480E-4,5.220E-4
2.96E-1,3.950E-6,3.940E-2,3.210E-4,4.930E-4
3.81E-1,3.750E-6,3.830E-2,2.960E-4,4.650E-4
4.66E-1,3.560E-6,3.730E-2,2.710E-4,4.370E-4
5.50E-1,3.370E-6,3.640E-2,2.480E-4,4.110E-4
6.35E-1,3.180E-6,3.550E-2,2.250E-4,3.860E-4
7.20E-1,2.990E-6,3.490E-2,2.030E-4,3.610E-4
8.04E-1,2.810E-6,3.440E-2,1.820E-4,3.380E-4
8.89E-1,2.630E-6,3.410E-2,1.610E-4,3.150E-4
9.74E-1,2.450E-6,3.420E-2,1.410E-4,2.920E-4
