Distance (m),Mn(mol/kgw) (mol),Fe(mol/kgw) (mol),B(mol/kgw) (mol),Cl(mol/kgw) (mol),Na(mol/kgw) (mol),S(6)(mol/kgw) (mol),Ca(mol/kgw) (mol),K(mol/kgw) (mol),Mg(mol/kgw) (mol),Sr(mol/kgw) (mol),Ba(mol/kgw) (mol),Li(mol/kgw) (mol),Zn(mol/kgw) (mol),Ni(mol/kgw) (mol),Cu(mol/kgw) (mol),Cd(mol/kgw) (mol),Co(mol/kgw) (mol),Pb(mol/kgw) (mol)
4.23E-2,4.068E-9,8.215E-8,9.081E-5,5.100E-1,5.216E-1,7.223E-2,1.411E-2,5.623E-3,4.947E-2,6.919E-5,5.851E-8,2.399E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
1.27E-1,1.732E-9,3.497E-8,3.866E-5,2.171E-1,2.220E-1,3.075E-2,6.004E-3,2.394E-3,2.106E-2,2.945E-5,2.490E-8,1.021E-5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
2.12E-1,4.993E-10,1.008E-8,1.114E-5,6.259E-2,6.401E-2,8.864E-3,1.731E-3,6.900E-4,6.070E-3,8.491E-6,7.180E-9,2.944E-6,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
2.96E-1,1.053E-10,2.126E-9,2.350E-6,1.320E-2,1.350E-2,1.869E-3,3.650E-4,1.455E-4,1.280E-3,1.790E-6,1.514E-9,6.208E-7,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
3.81E-1,1.703E-11,3.438E-10,3.800E-7,2.134E-3,2.183E-3,3.023E-4,5.903E-5,2.353E-5,2.070E-4,2.896E-7,2.448E-10,1.004E-7,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
4.66E-1,2.176E-12,4.393E-11,4.857E-8,2.728E-4,2.789E-4,3.863E-5,7.543E-6,3.007E-6,2.645E-5,3.700E-8,3.129E-11,1.283E-8,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
5.50E-1,2.240E-13,4.524E-12,5.001E-9,2.809E-5,2.872E-5,3.978E-6,7.767E-7,3.096E-7,2.724E-6,3.810E-9,3.222E-12,1.321E-9,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
6.35E-1,1.883E-14,3.803E-13,4.204E-10,2.361E-6,2.414E-6,3.344E-7,6.529E-8,2.603E-8,2.290E-7,3.203E-10,2.708E-13,1.111E-10,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
7.20E-1,1.303E-15,2.631E-14,2.909E-11,1.634E-7,1.671E-7,2.314E-8,4.518E-9,1.801E-9,1.585E-8,2.216E-11,1.874E-14,7.686E-12,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
8.04E-1,7.458E-17,1.506E-15,1.665E-12,9.350E-9,9.562E-9,1.324E-9,2.586E-10,1.031E-10,9.068E-10,1.268E-12,1.073E-15,4.398E-13,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
8.89E-1,3.534E-18,7.135E-17,7.888E-14,4.430E-10,4.531E-10,6.274E-11,1.225E-11,4.884E-12,4.297E-11,6.010E-14,5.082E-17,2.084E-14,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0
