Time (s),Mn(mol/kgw),Fe(mol/kgw),B(mol/kgw),Cl(mol/kgw),Na(mol/kgw),S(6)(mol/kgw),Ca(mol/kgw),K(mol/kgw),Mg(mol/kgw),Sr(mol/kgw),Ba(mol/kgw),Li(mol/kgw),Zn(mol/kgw),Ni(mol/kgw),Cu(mol/kgw),Cd(mol/kgw),Co(mol/kgw),Pb(mol/kgw)
32.9,9.374414562096818e-15,1.8928862594352624e-13,2.0925177402269735e-10,1.1752305089004766e-06,1.201875465085063e-06,1.6618838191828426e-07,3.224997849214684e-08,1.29569921249306e-08,1.139802956908105e-07,1.594301362933634e-10,1.3481022667556983e-13,5.52851352549474e-11,0.0,0.0,0.0,0.0,0.0,0.0
35.9,6.5570527899724094e-09,1.324003226687698e-07,0.00014636379899578522,0.8220298383650524,0.8406669898513393,0.11526088000523092,0.021575970291510652,0.009062931962274699,0.07972495891982345,0.00011151542457000396,9.429471750886708e-08,3.866988684639856e-05,0.0,0.0,0.0,0.0,0.0,0.0
38.9,6.557061918648454e-09,1.3240050699543243e-07,0.00014636400276229198,0.8220309827883889,0.8406681602211739,0.11526088176301386,0.0215758416219219,0.009062944579615819,0.07972506991226978,0.00011151557982087803,9.429484878521741e-08,3.866994068230502e-05,0.0,0.0,0.0,0.0,0.0,0.0
41.9,6.557061926298153e-09,1.324005071498939e-07,0.0001463640029330512,0.822030983747415,0.8406681612019578,0.11526084954872094,0.021575809298344625,0.009062944590189291,0.07972507000527956,0.00011151557995097234,9.429484889523184e-08,3.866994072742031e-05,0.0,0.0,0.0,0.0,0.0,0.0
44.9,6.557062000046697e-09,1.3240050863903478e-07,0.000146364004579133,0.822030992993093,0.840668170657068,0.11526053869607705,0.021575497391898204,0.009062944692121919,0.07972507090195714,0.00011151558120523383,9.429484995572273e-08,3.866994116234411e-05,0.0,0.0,0.0,0.0,0.0,0.0
47.9,6.557062138371558e-09,1.3240051143210049e-07,0.00014636400766676315,0.8220310103343023,0.8406681883914354,0.1152599556601043,0.021574912379586402,0.009062944883309785,0.07972507258380211,0.00011151558355771802,9.429485194493936e-08,3.866994197810742e-05,0.0,0.0,0.0,0.0,0.0,0.0
50.8,6.557062359812208e-09,1.3240051590343715e-07,0.0001463640126096644,0.822031038095348,0.8406682167818805,0.11525902229439594,0.021573975850013107,0.009062945189377154,0.07972507527621968,0.00011151558732374283,9.42948551294115e-08,3.8669943284041804e-05,0.0,0.0,0.0,0.0,0.0,0.0
53.8,6.557062673773789e-09,1.3240052224296193e-07,0.00014636401961777966,0.8220310774553589,0.8406682570342643,0.11525769895516781,0.02157264802501128,0.00906294562332377,0.0797250790935691,0.00011151559266326824,9.429485964439469e-08,3.866994513561307e-05,0.0,0.0,0.0,0.0,0.0,0.0
56.8,6.557063077876542e-09,1.3240053040262317e-07,0.00014636402863799138,0.8220311281159974,0.8406683088434846,0.11525599567290959,0.02157093896907275,0.009062946181860605,0.07972508400691497,0.0001115155995358206,9.429486545566526e-08,3.866994751878836e-05,0.0,0.0,0.0,0.0,0.0,0.0
59.8,6.5570635583888604e-09,1.3240054010515027e-07,0.00014636403936378327,0.8220311883557762,0.8406683704490243,0.11525397032646557,0.021568906757234774,0.009062946846008038,0.07972508984929856,0.0001115156077078646,9.429487236575531e-08,3.8669950352584475e-05,0.0,0.0,0.0,0.0,0.0,0.0
62.8,6.557064093107222e-09,1.324005509022103e-07,0.00014636405129954332,0.8220312553911371,0.8406684390042165,0.11525171650322509,0.021566645294123468,0.009062947585077202,0.0797250963507545,0.00011151561680178886,9.429488005536145e-08,3.866995350605871e-05,0.0,0.0,0.0,0.0,0.0,0.0
65.8,6.557064655486138e-09,1.3240056225779055e-07,0.00014636406385273097,0.822031325894188,0.8406685111057202,0.11524934609140346,0.021564266847226003,0.009062948362377912,0.07972510318852702,0.00011151562636613309,9.429488814274452e-08,3.866995682265949e-05,0.0,0.0,0.0,0.0,0.0,0.0
68.8,6.557065218812993e-09,1.3240057363251246e-07,0.00014636407642707418,0.8220313965160629,0.8406685833287424,0.11524697168478935,0.021561884391993424,0.009062949140988664,0.07972511003782334,0.00011151563594660062,9.429489624375494e-08,3.866996014485078e-05,0.0,0.0,0.0,0.0,0.0,0.0
71.8,6.557065759557602e-09,1.3240058455125205e-07,0.00014636408849735125,0.8220314643069213,0.8406686526565608,0.11524469246102609,0.021559597442257116,0.009062949888387248,0.0797251166125522,0.00011151564514301371,9.42949040200198e-08,3.866996333386411e-05,0.0,0.0,0.0,0.0,0.0,0.0
74.8,6.557066259480087e-09,1.3240059464570934e-07,0.0001463640996564101,0.8220315269800664,0.8406687167506376,0.11524258530211835,0.021557483140630673,0.009062950579362686,0.07972512269093723,0.0001115156536451653,9.429491120923382e-08,3.866996628213149e-05,0.0,0.0,0.0,0.0,0.0,0.0
77.8,6.557066706467087e-09,1.3240060367129488e-07,0.00014636410963386992,0.8220315830169346,0.8406687740579808,0.1152407012642412,0.02155559271635683,0.009062951197172767,0.07972512812569994,0.00011151566124704874,9.429491763720219e-08,3.866996891821524e-05,0.0,0.0,0.0,0.0,0.0,0.0
