Time (s),Mn(mol/kgw),Fe(mol/kgw),B(mol/kgw),Cl(mol/kgw),Na(mol/kgw),S(6)(mol/kgw),Ca(mol/kgw),K(mol/kgw),Mg(mol/kgw),Sr(mol/kgw),Ba(mol/kgw),Li(mol/kgw),Zn(mol/kgw),Ni(mol/kgw),Cu(mol/kgw),Cd(mol/kgw),Co(mol/kgw),Pb(mol/kgw)
32.9,9.367501802558157e-15,1.8914904317322268e-13,2.0909747028595275e-10,1.1743638856190275e-06,1.2009891936245562e-06,1.6605625333117086e-07,3.2216617030091226e-08,1.2947437547382723e-08,1.1389624581536602e-07,1.593125713843208e-10,1.3471081666182872e-13,5.5244367605559755e-11,0.0,0.0,0.0,0.0,0.0,0.0
35.9,6.554217301591351e-09,1.3234306835214952e-07,0.00014630050640611464,0.8216743652387828,0.8403034573988386,0.1152205835567328,0.021576186323369783,0.009059012848139583,0.07969048318781827,0.00011146720158009186,9.425394132714033e-08,3.865316469723077e-05,0.0,0.0,0.0,0.0,0.0,0.0
38.9,6.554226429089781e-09,1.3234325265503286e-07,0.00014630071014633055,0.8216755095144536,0.8403046276176512,0.11522058532310321,0.02157605767919055,0.009059025463852661,0.07969059416594367,0.00011146735681093884,9.42540725865552e-08,3.865321852618969e-05,0.0,0.0,0.0,0.0,0.0,0.0
41.9,6.554226436749897e-09,1.3234325280970764e-07,0.0001463007103173173,0.8216755104747673,0.8403046285997351,0.11522055305194498,0.021576025298587362,0.009059025474440145,0.0796905942590794,0.00011146735694121287,9.42540726967202e-08,3.86532185713646e-05,0.0,0.0,0.0,0.0,0.0,0.0
44.9,6.554226510480169e-09,1.323432542984663e-07,0.0001463007119630895,0.8216755197179897,0.8403046380525178,0.1152202421467602,0.021575713339972487,0.009059025576347293,0.07969059515553759,0.00011146735819513586,9.425407375701716e-08,3.86532190061842e-05,0.0,0.0,0.0,0.0,0.0,0.0
47.9,6.554226648769823e-09,1.3234325709082087e-07,0.00014630071504990465,0.8216755370546271,0.8403046557822667,0.11521965901235416,0.021575128229754194,0.009059025767485303,0.07969059683695762,0.00011146736054701973,9.425407574572366e-08,3.865321982173585e-05,0.0,0.0,0.0,0.0,0.0,0.0
50.8,6.554226870152005e-09,1.3234326156097746e-07,0.00014630071999149774,0.821675564808314,0.8403046841652683,0.11521872548894371,0.021574191543359544,0.009059026073472268,0.07969059952867132,0.00011146736431204126,9.425407892935228e-08,3.8653221127328034e-05,0.0,0.0,0.0,0.0,0.0,0.0
53.8,6.554227184028138e-09,1.3234326789878526e-07,0.00014630072699762918,0.8216756041578734,0.8403047244068386,0.11521740192601662,0.021572863495806678,0.009059026507302606,0.07969060334498486,0.00011146736965013228,9.425408344303976e-08,3.8653222978400905e-05,0.0,0.0,0.0,0.0,0.0,0.0
56.8,6.554227588024585e-09,1.3234327605630268e-07,0.00014630073601545266,0.8216756548051133,0.8403047762023778,0.11521569835546981,0.021571154153106405,0.009059027065691831,0.07969060825703991,0.00011146737652087689,9.42540892527845e-08,3.8653225360946644e-05,0.0,0.0,0.0,0.0,0.0,0.0
59.8,6.554228068410557e-09,1.3234328575627616e-07,0.0001463007467384129,0.8216757150289666,0.8403048377917667,0.11521367266569825,0.021569121599819132,0.009059027729664866,0.0796906140978982,0.00011146738469075917,9.425409616105373e-08,3.865322819400216e-05,0.0,0.0,0.0,0.0,0.0,0.0
62.8,6.554228602985647e-09,1.3234329655045135e-07,0.00014630075867088662,0.821675782046596,0.8403049063286852,0.11521141845990293,0.021566859756114772,0.009059028468537329,0.07969062059761388,0.00011146739378226834,9.425410384853034e-08,3.865323134663358e-05,0.0,0.0,0.0,0.0,0.0,0.0
65.8,6.55422916521611e-09,1.3234330790303624e-07,0.00014630077122076176,0.821675852531041,0.8403049784111603,0.11520904764500842,0.02156448090826441,0.009059029245632854,0.07969062743358159,0.0001114674033440897,9.425411193377705e-08,3.865323466235935e-05,0.0,0.0,0.0,0.0,0.0,0.0
68.8,6.554229728394157e-09,1.323433192747583e-07,0.00014630078379179046,0.8216759231342958,0.8403050506151392,0.11520667283394498,0.021562098050705022,0.009059030024038319,0.07969063428107194,0.00011146741292202907,9.425412003265156e-08,3.865323798367393e-05,0.0,0.0,0.0,0.0,0.0,0.0
71.8,6.5542302689964825e-09,1.323433301906243e-07,0.0001463007958588887,0.8216759909073066,0.8403051199247062,0.11520439322129644,0.021559810714117052,0.009059030771240111,0.07969064085406966,0.0001114674221160212,9.425412780686775e-08,3.865324117184861e-05,0.0,0.0,0.0,0.0,0.0,0.0
74.8,6.554230768787337e-09,1.3234334028242508e-07,0.00014630080701501293,0.8216760535639597,0.8403051840019177,0.11520228570229493,0.0215576960542767,0.009059031462033773,0.07969064693085542,0.00011146743061593578,9.425413499418883e-08,3.8653244119339866e-05,0.0,0.0,0.0,0.0,0.0,0.0
77.8,6.554231215657019e-09,1.323433493056363e-07,0.0001463008169898481,0.8216761095860993,0.8403052412941977,0.11520040134199704,0.02155580530926041,0.00905903207968145,0.07969065236418946,0.00011146743821582182,9.425414142046644e-08,3.865324675473064e-05,0.0,0.0,0.0,0.0,0.0,0.0
