Distance ($m$),Gypsum (g/m^2)
0.0102,0.0
0.0305,0.0
0.0508,0.0
0.0711,0.0
0.0914,0.0
0.112,0.0
0.132,0.0
0.152,0.0
0.173,0.0
0.193,0.0
0.213,0.0
0.234,0.0
0.254,0.0
0.274,0.0
0.295,0.0
0.315,0.0
0.335,0.0
0.356,0.0
0.376,0.0
0.396,0.0
0.417,0.0
0.437,0.0
0.457,0.0
0.478,0.0
0.498,0.0
0.518,3.02
0.538,5.55
0.559,5.41
0.579,5.27
0.599,5.12
0.62,4.98
0.64,4.84
0.66,4.71
0.681,4.57
0.701,4.43
0.721,4.3
0.742,4.16
0.762,4.02
0.782,3.88
0.803,3.74
0.823,3.6
0.843,3.46
0.864,3.32
0.884,3.18
0.904,3.04
0.925,2.91
0.945,2.77
0.965,2.63
0.986,2.49
1.01,2.35
