                 sim	               state	                soln	              dist_x	                time	                step	                  pH	                  pe	            reaction	                temp	                 Alk	                  mu	            mass_H2O	              charge	                  Ca	                S(6)	           Anhydrite	         d_Anhydrite	           Aragonite	         d_Aragonite	             Calcite	           d_Calcite	              Gypsum	            d_Gypsum	         Portlandite	       d_Portlandite	        si_Anhydrite	        si_Aragonite	          si_Calcite	           si_Gypsum	      si_Portlandite	
                   1	              i_soln	                   0	                 -99	                 -99	                 -99	  3.201035043304e+00	  4.000000000000e+00	                 -99	  2.500000000000e+01	 -1.201595800818e-03	  8.102952987454e-02	  1.737815355638e+01	  1.065814103640e-14	  2.001562320268e-02	  2.061642110308e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	 -1.936122013929e-01	 -9.999990000000e+02	 -9.999990000000e+02	  1.552135114672e-01	 -1.859106138449e+01	
                   1	              i_soln	                   1	                 -99	                 -99	                 -99	  7.000000000000e+00	  4.000000000000e+00	                 -99	  2.500000000000e+01	  1.216292778575e-09	  1.006453974338e-07	  1.737815355638e+01	 -2.113692267559e-08	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	
                   1	               react	                   0	                 -99	                   0	                   1	  3.165355047116e+00	  4.000000000000e+00	  8.916777599411e+00	  2.500000000000e+01	 -1.213033927577e-03	  6.112024941542e-02	  1.721428878831e+01	  1.099120794379e-14	  1.501466100521e-02	  1.562117796900e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  8.936786294043e-02	  8.936786294043e-02	  0.000000000000e+00	  0.000000000000e+00	 -3.489229727407e-01	 -9.999990000000e+02	 -9.999990000000e+02	  0.000000000000e+00	 -1.874830673014e+01	
                   1	              transp	                   1	           0.0423333	                   0	                   0	  7.000000000000e+00	  4.000000000000e+00	  8.916777599411e+00	  2.500000000000e+01	  1.216292778575e-09	  1.006453974338e-07	  1.737815355638e+01	 -2.113692267559e-08	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	
                   1	              transp	                   2	               0.127	                   0	                   0	  7.000000000000e+00	  4.000000000000e+00	  8.835040471416e+00	  2.500000000000e+01	  1.216292778575e-09	  1.006453974338e-07	  1.737815355638e+01	 -2.113692267559e-08	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	
                   1	              transp	                   3	            0.211667	                   0	                   0	  7.000000000000e+00	  4.000000000000e+00	  8.753303343421e+00	  2.500000000000e+01	  1.216292778575e-09	  1.006453974338e-07	  1.737815355638e+01	 -2.113692267559e-08	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	
                   1	              transp	                   4	            0.296333	                   0	                   0	  7.000000000000e+00	  4.000000000000e+00	  8.671566215427e+00	  2.500000000000e+01	  1.216292778575e-09	  1.006453974338e-07	  1.737815355638e+01	 -2.113692267559e-08	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	
                   1	              transp	                   5	               0.381	                   0	                   0	  7.000000000000e+00	  4.000000000000e+00	  8.589829087432e+00	  2.500000000000e+01	  1.216292778575e-09	  1.006453974338e-07	  1.737815355638e+01	 -2.113692267559e-08	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	
                   1	              transp	                   6	            0.465667	                   0	                   0	  7.000000000000e+00	  4.000000000000e+00	  8.508091959438e+00	  2.500000000000e+01	  1.216292778575e-09	  1.006453974338e-07	  1.737815355638e+01	 -2.113692267559e-08	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	
                   1	              transp	                   7	            0.550333	                   0	                   0	  7.000000000000e+00	  4.000000000000e+00	  8.426354831443e+00	  2.500000000000e+01	  1.216292778575e-09	  1.006453974338e-07	  1.737815355638e+01	 -2.113692267559e-08	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	
