element, concentration (ppm), temperature (Celcius), reference, 
,,24.5,"#average of Al-Taani et al., 2014 and Longinelli and Craig, 1967.", 
Alkalinity,,"#Sabine et al., 2002 as reported for the Indian Ocean", 
'Mn',, '0.000306', 
'Fe', ,'0.006281', 
'B', ,'1.344', 
'Cl',, '24756', 
'Na', ,'16417.2', 
'S(6)',, '9500', 
'Ca', ,'774', 
'K', ,'301', 
'Mg',, '1646', 
'Sr', ,'8.3', 
'Ba', ,'0.011', 
'Li',,'0.228',




"#Al-Taani et al., 2014 // 4.00 is the default (?)", 
"#Al-Taani et al., 2014 for the Northern Gulf of Aqaba",
"#Al-Taani et al., 2014 for the Northern Gulf of Aqaba",
"#Al-Taani et al., 2014 ",
"#https://www.lenntech.com/composition-seawater.htm in the Red Sea, and Longinelli and Craig, 1967",
"#https://www.lenntech.com/composition-seawater.htm in the Red Sea, and Longinelli and Craig, 1967 describes [Na]=15834",
"#Longinelli and Craig, 1967 and Llyod, 1967.",
"#Abdel-Aal et al., 2015",
"#Abdel-Aal et al., 2015",
"#Abdel-Aal et al., 2015",
"#Bernat, Church, and Allegre, 1972 from the Mediterranean",
"#Bernat, Church, and Allegre, 1972 from the Mediterranean",
"#Stoffyn-Egli and Mackenzie, 1984 for the Mediterranean Sea"







